InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
30faaa79-d1ec-4269-8c44-a95dbe1003fb,IN-F100000,CID-001,29381569-d947-447f-bb5e-fee5bc6f9c02,2025-01-28,2025-01-28,359.98,31.5,391.48,Issued,SampleGen
85554516-5955-404e-bf15-7f25084166b4,IN-F100001,CID-001,5b126da8-8748-494b-aa4a-297cb7c74de2,2025-02-13,2025-02-13,2029.93,177.61,2207.54,Issued,SampleGen
012c75d1-3760-4a1c-a1ee-5c08afec606c,IN-F100002,CID-001,7fa76e28-88fc-4030-9bff-39883d3905c0,2025-03-06,2025-03-06,2489.91,217.86,2707.77,Issued,SampleGen
8670273b-38b5-49dc-b812-58fcad542c5c,IN-F100003,CID-001,3fca502c-488c-4f4a-875f-8c2ab368e89e,2025-04-18,2025-04-18,159.98,14.0,173.98,Issued,SampleGen
71f7ffed-0903-48a5-b08f-0d1f130eef52,IN-F100004,CID-001,1fef7b04-60cb-4dd1-bc5c-4ccb2e933ea3,2025-05-08,2025-05-08,579.94,50.74,630.68,Issued,SampleGen
df34ba88-b1b9-4cbc-b3df-5205a5c3079d,IN-F100005,CID-001,651272c3-81ca-4af5-b14e-b816658bd82a,2025-06-13,2025-06-13,889.95,77.87,967.82,Issued,SampleGen
d1bd4bf9-12da-44cc-8216-d3026a54b087,IN-F100006,CID-001,cb53cee2-ceee-4639-a507-7f9f05f3d576,2025-07-25,2025-07-25,569.97,49.87,619.84,Issued,SampleGen
14a93789-6ee7-4840-a30f-da6dbbd8d073,IN-F100007,CID-001,bf5c06e3-6a62-43f3-86b0-906f49bb8fdf,2025-08-19,2025-08-19,2159.91,188.99,2348.9,Issued,SampleGen
b2fbfd25-533b-4f35-b0e1-f8c36129c4c3,IN-F100008,CID-001,e86c3207-e970-4106-a766-1ef00baa1f7f,2025-09-28,2025-09-28,269.97,23.62,293.59,Issued,SampleGen
338bd588-2a37-40e7-a0c7-4cc78d0b9035,IN-F100009,CID-001,f874c511-dc8a-4b2f-9b47-dbb056ed70de,2025-10-06,2025-10-06,159.98,14.0,173.98,Issued,SampleGen
7ed754c7-1627-4a9c-93b1-d01bf7754860,IN-F100010,CID-001,013ae7d2-088e-40e3-8f3b-80f3d694ce6f,2025-11-06,2025-11-06,339.98,29.75,369.73,Issued,SampleGen
86721313-4251-40c7-8625-514d1c5fd0d1,IN-F100011,CID-001,20f6bcc4-890d-4f09-9101-6ac1e5327d08,2025-12-04,2025-12-04,149.99,13.12,163.11,Issued,SampleGen
eb091a61-4d42-4c55-8259-f6750523d438,IN-F100012,CID-001,03f71d37-f43f-4640-bffd-4bf8574607e7,2025-12-13,2025-12-13,569.97,49.87,619.84,Issued,SampleGen
