InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,General,Regional,924,224,700,102,201,804,2026-03-01 16:37:47,150.19,Excess,system,2025-09-12 21:37:47
2,1531,Summit Breeze Jacket,General,Backup,351,50,301,178,258,695,2026-03-02 20:37:47,294.0,Active,system,2026-01-02 21:37:47
3,1541,TrekReady Hiking Boots,General,Main,220,44,176,148,285,698,2026-03-01 13:37:47,80.77,Active,system,2026-01-18 21:37:47
4,1551,BaseCamp Folding Table,General,Main,99,16,83,48,65,267,2026-03-02 16:37:47,244.97,Active,system,2026-01-13 21:37:47
5,1551,BaseCamp Folding Table,General,Backup,33,0,33,48,65,267,2026-03-02 16:37:47,244.97,Active,system,2026-01-13 21:37:47
6,1561,EcoFire Camping Stove,General,Regional,226,57,169,38,74,321,2026-03-02 00:37:47,246.97,Active,system,2025-12-20 21:37:47
7,1571,CozyNights Sleeping Bag,General,Main,252,49,203,65,82,326,2026-03-01 23:37:47,258.24,Active,system,2025-12-31 21:37:47
8,1571,CozyNights Sleeping Bag,General,Backup,116,0,116,65,82,326,2026-03-01 23:37:47,258.24,Active,system,2025-12-31 21:37:47
9,1511,Alpine Explorer Tent,General,Main,185,49,136,235,291,716,2026-03-02 13:37:47,374.74,LowStock,system,2026-01-17 21:37:47
10,1522,SummitClimber Backpack,General,Main,475,57,418,138,269,1146,2026-03-01 04:37:47,186.43,Active,system,2025-09-27 21:37:47
11,1532,TrailBlaze Hiking Pants,General,Main,93,12,81,109,149,650,2026-03-01 22:37:47,17.65,LowStock,system,2025-12-29 21:37:47
12,1542,TrailWalker Hiking Shoes,General,Main,275,71,204,87,129,480,2026-03-01 00:37:47,76.01,Active,system,2025-10-20 21:37:47
13,1552,TrekMaster Camping Chair,General,Main,453,80,373,77,150,512,2026-03-02 03:37:47,315.99,Active,system,2026-01-15 21:37:47
14,1562,PowerBurner Camping Stove,General,Main,3,0,3,46,88,381,2026-03-02 07:37:47,72.13,LowStock,system,2025-09-17 21:37:47
15,1572,MountainDream Sleeping Bag,General,Main,425,68,357,61,80,458,2026-03-01 23:37:47,164.41,Active,system,2025-11-04 21:37:47
16,1572,MountainDream Sleeping Bag,General,Backup,144,0,144,61,80,458,2026-03-01 23:37:47,164.41,Active,system,2025-11-04 21:37:47
17,1512,SkyView 2-Person Tent,General,Main,114,26,88,150,240,1274,2026-03-02 20:37:47,22.67,LowStock,system,2025-12-19 21:37:47
18,1512,SkyView 2-Person Tent,General,Backup,43,0,43,150,240,1274,2026-03-02 20:37:47,22.67,Active,system,2025-12-19 21:37:47
19,1523,TrailLite Daypack,General,Main,448,128,320,152,242,968,2026-03-02 00:37:47,210.1,Active,system,2025-10-10 21:37:47
20,1533,RainGuard Hiking Jacket,General,Backup,831,167,664,151,204,892,2026-03-02 16:37:47,199.19,Active,system,2025-09-13 21:37:47
21,1543,TrekStar Hiking Sandals,General,Main,661,153,508,106,166,581,2026-03-02 15:37:47,116.7,Excess,system,2025-09-12 21:37:47
22,1553,Adventure Dining Table,General,Main,310,71,239,55,107,457,2026-03-01 07:37:47,155.8,Active,system,2025-12-09 21:37:47
23,1563,CompactCook Camping Stove,General,Backup,116,24,92,60,97,223,2026-03-02 18:37:47,67.22,Active,system,2026-01-21 21:37:47
24,1581,LED Headlamp - Rechargeable,General,Main,69,11,58,29,46,227,2026-03-02 00:37:47,153.44,Active,system,2025-10-31 21:37:47
25,2011,Coffee Maker,General,Main,539,123,416,846,1302,4229,2026-03-01 11:37:47,45.81,LowStock,system,2026-01-28 21:37:47
26,2011,Coffee Maker,General,Backup,260,0,260,846,1302,4229,2026-03-01 11:37:47,45.81,Active,system,2026-01-28 21:37:47
27,2012,Espresso Machine,General,Backup,5667,1371,4296,513,924,4838,2026-03-02 13:37:47,105.47,Excess,system,2025-12-05 21:37:47
28,2021,Chef Knife,General,Main,1431,383,1048,601,912,2548,2026-03-02 14:37:47,296.74,Active,system,2025-10-02 21:37:47
29,2022,Fork Set,General,Main,1853,288,1565,324,442,2620,2026-03-01 07:37:47,126.58,Active,system,2026-01-04 21:37:47
30,2031,Coffee Mug,General,Main,1859,217,1642,465,838,2100,2026-03-02 02:37:47,247.37,Active,system,2025-11-01 21:37:47
31,2041,Serving Platter,General,Main,1967,227,1740,379,625,2268,2026-03-01 17:37:47,227.44,Active,system,2025-10-02 21:37:47
32,2041,Serving Platter,General,Backup,834,0,834,379,625,2268,2026-03-01 17:37:47,227.44,Active,system,2025-10-02 21:37:47
33,2051,Ice Cream Bowl,General,Backup,84,9,75,205,274,1226,2026-03-01 05:37:47,51.18,LowStock,system,2025-12-07 21:37:47
34,2061,Mixing Bowl,General,Main,1892,431,1461,352,423,2659,2026-03-01 06:37:47,174.19,Active,system,2025-12-16 21:37:47
35,2071,Baking Pan,General,Backup,62,8,54,465,923,1985,2026-03-02 13:37:47,40.49,LowStock,system,2025-12-23 21:37:47
36,2081,Food Storage Set,General,Main,80,10,70,188,236,1142,2026-03-01 22:37:47,50.46,LowStock,system,2026-01-15 21:37:47
37,2091,Spatula,General,Main,741,89,652,177,230,812,2026-03-02 09:37:47,376.27,Active,system,2025-10-12 21:37:47
38,2101,Measuring Cup Set,General,Regional,40,5,35,184,328,1135,2026-03-01 15:37:47,279.48,LowStock,system,2026-01-29 21:37:47
39,2101,Measuring Cup Set,General,Backup,9,0,9,184,328,1135,2026-03-01 15:37:47,279.48,Active,system,2026-01-29 21:37:47
40,2111,High-Speed Blender,General,Main,732,113,619,203,400,1088,2026-03-01 18:37:47,193.05,Active,system,2025-11-01 21:37:47
41,2112,4-Slice Toaster,General,Main,546,87,459,185,340,923,2026-03-01 03:37:47,299.23,Active,system,2025-12-06 21:37:47
42,2121,Bamboo Cutting Board Set,General,Main,636,139,497,174,274,1089,2026-03-01 12:37:47,117.46,Active,system,2025-09-29 21:37:47
43,3011,Alpine Pro Racing Skis - 170cm,General,Main,129,24,105,20,27,131,2026-03-01 22:37:47,248.9,Active,system,2026-01-05 21:37:47
44,3011,Alpine Pro Racing Skis - 170cm,General,Backup,62,0,62,20,27,131,2026-03-01 22:37:47,248.9,Active,system,2026-01-05 21:37:47
45,3012,Mountain Master All-Terrain Skis - 165cm,General,Regional,115,28,87,17,32,119,2026-03-02 17:37:47,238.01,Active,system,2025-09-29 21:37:47
46,3013,Beginner's Choice Alpine Skis - 160cm,General,Main,172,24,148,17,24,144,2026-03-01 14:37:47,133.07,Excess,system,2025-12-27 21:37:47
47,3021,Nordic Classic XC Skis - 185cm,General,Main,11,1,10,6,7,41,2026-03-02 14:37:47,114.78,Active,system,2025-09-20 21:37:47
48,3021,Nordic Classic XC Skis - 185cm,General,Backup,2,0,2,6,7,41,2026-03-02 14:37:47,114.78,Active,system,2025-09-20 21:37:47
49,3022,Backcountry Explorer XC Skis - 190cm,General,Main,4,0,4,9,15,60,2026-03-02 06:37:47,70.19,LowStock,system,2025-11-18 21:37:47
50,3022,Backcountry Explorer XC Skis - 190cm,General,Backup,1,0,1,9,15,60,2026-03-02 06:37:47,70.19,Active,system,2025-11-18 21:37:47
51,3031,Pro Flex Racing Ski Boots,General,Main,54,11,43,12,14,111,2026-03-01 05:37:47,116.41,Active,system,2025-10-04 21:37:47
52,3032,Comfort Fit Recreational Boots,General,Main,91,12,79,20,38,85,2026-03-01 22:37:47,21.26,Excess,system,2026-01-07 21:37:47
53,3032,Comfort Fit Recreational Boots,General,Backup,41,0,41,20,38,85,2026-03-01 22:37:47,21.26,Active,system,2026-01-07 21:37:47
54,3033,Women's Performance Ski Boots,General,Main,47,6,41,21,34,112,2026-03-02 12:37:47,261.96,Active,system,2026-01-18 21:37:47
55,3041,Carbon Fiber Racing Poles - 120cm,General,Main,5,0,5,5,6,48,2026-03-01 05:37:47,54.87,LowStock,system,2025-10-12 21:37:47
56,3042,Aluminum All-Mountain Poles - 115cm,General,Main,41,8,33,7,12,47,2026-03-02 20:37:47,279.03,Active,system,2025-09-26 21:37:47
57,3042,Aluminum All-Mountain Poles - 115cm,General,Backup,12,0,12,7,12,47,2026-03-02 20:37:47,279.03,Active,system,2025-09-26 21:37:47
58,3051,Insulated Ski Jacket - Men's,General,Main,15,2,13,13,23,83,2026-03-02 11:37:47,32.33,Active,system,2025-10-23 21:37:47
59,3052,Thermal Base Layer Set - Women's,General,Main,29,4,25,11,17,90,2026-03-01 03:37:47,27.05,Active,system,2025-09-19 21:37:47
60,3053,Waterproof Ski Pants,General,Main,63,7,56,18,25,77,2026-03-01 05:37:47,201.89,Active,system,2025-12-11 21:37:47
61,3061,Professional Ski Helmet,General,Regional,30,8,22,11,17,47,2026-03-02 06:37:47,95.07,Active,system,2026-01-27 21:37:47
62,3061,Professional Ski Helmet,General,Backup,9,0,9,11,17,47,2026-03-02 06:37:47,95.07,Active,system,2026-01-27 21:37:47
63,3062,Anti-Fog Ski Goggles,General,Main,34,4,30,10,13,36,2026-03-01 19:37:47,229.24,Active,system,2026-01-30 21:37:47
64,3062,Anti-Fog Ski Goggles,General,Backup,16,0,16,10,13,36,2026-03-01 19:37:47,229.24,Active,system,2026-01-30 21:37:47
65,3071,Ski Boot Bag - Premium,General,Main,3,0,3,3,4,29,2026-03-02 16:37:47,199.48,LowStock,system,2025-10-28 21:37:47
66,3072,Hand Warmers - 10 Pack,General,Main,27,5,22,8,12,42,2026-03-01 09:37:47,150.54,Active,system,2025-10-05 21:37:47
67,3081,All-Temp Ski Wax Kit,General,Regional,61,15,46,16,30,89,2026-03-01 02:37:47,208.66,Active,system,2025-10-26 21:37:47
68,3081,All-Temp Ski Wax Kit,General,Backup,26,0,26,16,30,89,2026-03-01 02:37:47,208.66,Active,system,2025-10-26 21:37:47
69,3082,Edge Tuning Tool Set,General,Regional,7,2,5,14,27,102,2026-03-02 09:37:47,53.0,LowStock,system,2026-01-20 21:37:47
70,3091,Freestyle Snowboard - 155cm,General,Regional,22,3,19,11,20,62,2026-03-02 09:37:47,256.45,Active,system,2025-09-30 21:37:47
71,3092,All-Mountain Snowboard - 158cm,General,Backup,16,2,14,11,21,42,2026-03-01 17:37:47,201.37,Active,system,2025-10-06 21:37:47
72,3101,Winter Boots - Insulated,General,Backup,23,3,20,6,9,26,2026-03-02 19:37:47,191.1,Active,system,2025-10-22 21:37:47
73,3102,Winter Hiking Boots - Waterproof,General,Regional,24,4,20,4,5,31,2026-03-01 10:37:47,343.06,Active,system,2025-12-21 21:37:47
74,3103,Snowboard Bindings - Pro,General,Regional,69,14,55,8,15,78,2026-03-02 07:37:47,97.13,Active,system,2025-10-01 21:37:47
75,3103,Snowboard Bindings - Pro,General,Backup,16,0,16,8,15,78,2026-03-02 07:37:47,97.13,Active,system,2025-10-01 21:37:47
76,3104,Ski Tuning Bench - Portable,General,Main,83,21,62,21,26,104,2026-03-02 15:37:47,187.79,Active,system,2025-09-05 21:37:47
