PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,8,PO-2026-0008,3103,Snowboard Bindings - Pro,General,92,92.0,97.13,8935.96,Received,2026-02-14,2026-02-15,Supplier SKU: WOR-3103,system,2026-01-16 21:37:47
2,9,PO-2026-0009,3103,Snowboard Bindings - Pro,General,71,,97.13,6896.23,Pending,2026-03-11,,Supplier SKU: WOR-3103,system,2026-02-08 21:37:47
3,9,PO-2026-0009,1522,SummitClimber Backpack,General,13,,186.43,2423.59,Pending,2026-03-11,,Supplier SKU: WOR-1522,system,2026-02-08 21:37:47
4,9,PO-2026-0009,3071,Ski Boot Bag - Premium,General,50,,199.48,9974.0,Pending,2026-03-11,,Supplier SKU: WOR-3071,system,2026-02-08 21:37:47
5,13,PO-2025-0013,1522,SummitClimber Backpack,General,19,19.0,186.43,3542.17,Received,2026-01-17,2026-01-17,Supplier SKU: WOR-1522,system,2025-12-22 21:37:47
6,13,PO-2025-0013,2101,Measuring Cup Set,General,19,16.0,279.48,5310.12,Backordered,2026-01-17,2026-01-17,Supplier SKU: WOR-2101,system,2025-12-22 21:37:47
7,13,PO-2025-0013,2111,High-Speed Blender,General,58,58.0,193.05,11196.9,Received,2026-01-17,2026-01-17,Supplier SKU: WOR-2111,system,2025-12-22 21:37:47
8,15,PO-2026-0015,2101,Measuring Cup Set,General,45,,279.48,12576.6,Pending,2026-03-23,,Supplier SKU: WOR-2101,system,2026-02-22 21:37:47
9,16,PO-2026-0016,3013,Beginner's Choice Alpine Skis - 160cm,General,137,,133.07,18230.59,Pending,2026-03-23,,Supplier SKU: WOR-3013,system,2026-02-24 21:37:47
10,16,PO-2026-0016,3102,Winter Hiking Boots - Waterproof,General,64,,343.06,21955.84,Pending,2026-03-23,,Supplier SKU: WOR-3102,system,2026-02-24 21:37:47
11,22,PO-2026-0022,3103,Snowboard Bindings - Pro,General,133,124.0,97.13,12918.29,Backordered,2026-02-08,2026-02-08,Supplier SKU: WOR-3103,system,2026-01-06 21:37:47
12,22,PO-2026-0022,1511,Alpine Explorer Tent,General,217,199.0,374.74,81318.58,Backordered,2026-02-08,2026-02-08,Supplier SKU: WOR-1511,system,2026-01-06 21:37:47
13,24,PO-2026-0024,3103,Snowboard Bindings - Pro,General,114,,97.13,11072.82,Pending,2026-03-10,,Supplier SKU: WOR-3103,system,2026-02-07 21:37:47
14,24,PO-2026-0024,2061,Mixing Bowl,General,2,,174.19,348.38,Pending,2026-03-10,,Supplier SKU: WOR-2061,system,2026-02-07 21:37:47
15,24,PO-2026-0024,2101,Measuring Cup Set,General,14,,279.48,3912.72,Pending,2026-03-10,,Supplier SKU: WOR-2101,system,2026-02-07 21:37:47
16,24,PO-2026-0024,3013,Beginner's Choice Alpine Skis - 160cm,General,145,,133.07,19295.15,Pending,2026-03-10,,Supplier SKU: WOR-3013,system,2026-02-07 21:37:47
17,24,PO-2026-0024,2091,Spatula,General,37,,376.27,13921.99,Pending,2026-03-10,,Supplier SKU: WOR-2091,system,2026-02-07 21:37:47
18,25,PO-2026-0025,2071,Baking Pan,General,3,3.0,40.49,121.47,Received,2026-02-24,2026-02-26,Supplier SKU: WOR-2071,system,2026-01-22 21:37:47
19,25,PO-2026-0025,2111,High-Speed Blender,General,61,46.0,193.05,11776.05,Backordered,2026-02-24,2026-02-26,Supplier SKU: WOR-2111,system,2026-01-22 21:37:47
20,25,PO-2026-0025,3102,Winter Hiking Boots - Waterproof,General,114,114.0,343.06,39108.84,Received,2026-02-24,2026-02-26,Supplier SKU: WOR-3102,system,2026-01-22 21:37:47
21,25,PO-2026-0025,1511,Alpine Explorer Tent,General,177,177.0,374.74,66328.98,Received,2026-02-24,2026-02-26,Supplier SKU: WOR-1511,system,2026-01-22 21:37:47
