InvoiceId,InvoiceNumber,CustomerId,CustomerAccountId,InvoiceDate,DueDate,InvoiceAmount,IsoCurrencyCode,CreatedBy
INV-2230d36a-1f22-477b-9b98-d6440179e280,ID200000,CID-001,CA-0002,2025-01-24,2025-02-23,451.52,USD,SampleGen
INV-a8ea8d7e-8c7e-4b9a-adf0-1f6ebe51cb0c,ID200001,CID-001,CA-0002,2025-02-18,2025-03-20,6366.1,USD,SampleGen
INV-6099b83f-77e8-47b1-a88e-9a0033fc513e,ID200002,CID-001,CA-0002,2025-03-26,2025-04-25,1924.74,USD,SampleGen
INV-ea3e6ad3-55b5-4028-9cc4-61a015d7af80,ID200003,CID-001,CA-0002,2025-04-19,2025-05-19,438.72,USD,SampleGen
INV-c0fd6dc5-97cc-4586-b149-816b303bcf73,ID200004,CID-001,CA-0002,2025-04-05,2025-05-05,974.92,USD,SampleGen
INV-2f08504d-c382-41b4-8574-8cceca623573,ID200005,CID-001,CA-0002,2025-05-29,2025-06-28,2009.58,USD,SampleGen
INV-d3c9a79b-e404-48b0-8d21-23e41e87ad2b,ID200006,CID-001,CA-0002,2025-05-30,2025-06-29,4140.18,USD,SampleGen
INV-61c0d843-274b-496c-bb68-969cde96cc75,ID200007,CID-001,CA-0002,2025-06-27,2025-07-27,404.82,USD,SampleGen
INV-a1fc2b02-f465-4ad7-ab9c-65f0a344ce9d,ID200008,CID-001,CA-0002,2025-07-23,2025-08-22,1731.82,USD,SampleGen
INV-6f7c5547-ae87-4bc7-87ca-773b55e98d33,ID200009,CID-001,CA-0002,2025-08-25,2025-09-24,1903.62,USD,SampleGen
INV-e874b809-8df2-4d36-9044-56f729292f8d,ID200010,CID-001,CA-0002,2025-09-24,2025-10-24,1746.68,USD,SampleGen
INV-1748420d-bb75-42c0-9323-4254fc4c43f8,ID200011,CID-001,CA-0002,2025-10-11,2025-11-10,402.68,USD,SampleGen
INV-8f741de2-30b3-445c-b034-76d3002f45b5,ID200012,CID-001,CA-0002,2025-11-28,2025-12-28,1382.12,USD,SampleGen
INV-260aaee2-541b-4a0b-8651-9d2be7cf9e67,ID200013,CID-001,CA-0002,2025-11-06,2025-12-06,3143.76,USD,SampleGen
INV-d09dd6bc-1215-46be-bfd1-9d2a6269e922,ID200014,CID-001,CA-0002,2025-12-15,2026-01-14,4201.66,USD,SampleGen
INV-0f9ebf57-33bb-4933-a90f-461dfc7dfb3d,ID200015,CID-001,CA-0002,2025-12-05,2026-01-04,2196.2,USD,SampleGen
INV-da36c053-eb01-4c74-9337-41032afaad12,ID200016,CID-001,CA-0002,2025-12-03,2026-01-02,8127.9,USD,SampleGen
INV-cf13dffe-bff0-4e09-ac42-e9a3d9b14657,ID200017,CID-001,CA-0002,2025-12-08,2026-01-07,3752.28,USD,SampleGen
INV-fca53dbe-6583-4fd7-9c71-d34290cc4dff,ID200018,CID-001,CA-0002,2025-12-02,2026-01-01,4188.92,USD,SampleGen
INV-36258838-dd46-48fa-9e31-2a42c6d6dade,ID200019,CID-001,CA-0002,2026-01-25,2026-02-24,292.48,USD,SampleGen
INV-7043a415-0274-40e0-a76d-68affe6739aa,ID200020,CID-001,CA-0002,2026-01-13,2026-02-12,3527.48,USD,SampleGen
INV-32f25e20-e558-4684-85bb-085b4017df16,ID200021,CID-001,CA-0002,2026-02-06,2026-03-08,5418.6,USD,SampleGen
INV-edeb34b8-d88a-453d-b3a9-8ff36ee2b115,ID200022,CID-001,CA-0002,2026-02-27,2026-03-29,3620.74,USD,SampleGen
INV-bd438161-c9ef-4176-9332-eeab92f61137,ID200023,CID-001,CA-0002,2026-02-17,2026-03-19,514.94,USD,SampleGen
