PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,IsoCurrencyCode,CreatedBy
031eb884-033c-49ae-8da3-e1463a0b0a3e,INV-0dde6f16-b67b-49b7-986e-50123d29892c,CID-001,2025-01-19,2052.04,MC,USD,SampleGen
5615e67c-9758-4d9e-9cea-3b904ff491c4,INV-5db989a6-7e7d-45fc-ba18-3b135ea00234,CID-001,2025-01-14,2760.12,MC,USD,SampleGen
b9726012-371d-4448-9e55-aca6d6105f39,INV-331b1a55-7ae6-4b0b-bb8c-41de8f1465a0,CID-001,2025-02-28,428.16,AmEx,USD,SampleGen
f560f3e6-f9eb-4d35-8086-ef2b00f90a41,INV-80e67b5b-72b9-465d-9130-04e81851245a,CID-001,2025-02-09,1570.72,MC,USD,SampleGen
95c8fbea-5d51-4cf5-aecf-186e44f69f05,INV-2ddec783-c3da-4bc2-8eb5-0dd4bc9fbf89,CID-001,2025-02-02,4663.8,VISA,USD,SampleGen
8b91ea41-80b1-4656-9ae5-fd9f20a306e3,INV-b157bc80-f155-46e2-8f1e-5882e9b1d05a,CID-001,2025-03-31,1195.56,AmEx,USD,SampleGen
d3e12257-0cdd-46e5-a7d2-d8376f68f293,INV-ba740320-39ce-4cf0-b4f0-56fa278e9c4d,CID-001,2025-03-04,3459.72,MC,USD,SampleGen
2e4cc9f3-f827-4fdd-ba20-ce29a8c9642e,INV-b0335170-ce3c-4fb6-b854-8f5a12d98881,CID-001,2025-03-19,2458.94,VISA,USD,SampleGen
92fa2c34-e3b5-4954-bcae-7cef685400c4,INV-1aef9895-4501-4a52-9f3b-221620e64883,CID-001,2025-04-10,2611.76,MC,USD,SampleGen
45002ca4-b7cd-4fa6-90d4-1b4ba3f40f97,INV-568212c5-2394-4977-b7a3-729c0de0c0c5,CID-001,2025-04-23,763.12,VISA,USD,SampleGen
0ce1af33-d497-4da6-b1b6-8da7a80ec0ee,INV-b1924bb5-91db-4171-8fad-91c7ca215000,CID-001,2025-04-23,515.04,PayPal,USD,SampleGen
8a790188-d7b3-4f9c-9f7b-67fb21ed27dc,INV-d64f3f20-7dc8-42cc-9776-c9054929d335,CID-001,2025-04-13,5918.78,VISA,USD,SampleGen
fd8143f0-31a5-439c-a813-4c245f33f2e9,INV-08e110cc-f666-4b90-a03d-30ae895982f6,CID-001,2025-05-13,1678.84,AmEx,USD,SampleGen
80a26337-ed6f-45cf-b824-30c3e2df7873,INV-7bb68f3c-73d8-4d84-8100-05c5f6d49ac5,CID-001,2025-05-29,1161.5,MC,USD,SampleGen
2fff1ffb-0707-430a-bc0f-1083f8613e95,INV-1ac0a995-fe35-480d-92a0-b3f344f744c8,CID-001,2025-05-15,936.9,VISA,USD,SampleGen
4ab7bccd-e915-4c2c-960a-725fdc36dba1,INV-57ef98f3-c7f5-4fe0-8252-b8b00e2955f7,CID-001,2025-05-31,911.48,MC,USD,SampleGen
2228fe99-c390-4d45-81dc-1f7bf27ac2bf,INV-29c5dc4f-e6d7-4d08-bd25-b529076fe64a,CID-001,2025-06-16,2310.58,VISA,USD,SampleGen
402e0adf-6460-4722-a2cc-ae50eb8c4f82,INV-6cc6e29d-5294-4dbc-a6ed-66c8acd566ec,CID-001,2025-07-11,2111.28,VISA,USD,SampleGen
b3a72772-a41b-48b5-a9f0-68a395615c4e,INV-60e6b37d-62a3-4d7d-947a-a45fcad65fab,CID-001,2025-08-22,5028.42,AmEx,USD,SampleGen
debf91b5-af3a-4e00-a7c4-b59c05039261,INV-f24a4906-a3c2-4e16-affd-9c59f23c1024,CID-001,2025-08-10,264.9,VISA,USD,SampleGen
5a86905d-eb84-495e-849b-9228a74d9578,INV-3774cdfc-fecf-467a-9191-7de3b3d580cf,CID-001,2025-08-28,553.18,Discover,USD,SampleGen
947257a2-3534-44b3-a0ba-99383c8c44aa,INV-2a5eb62b-3e1e-44b0-905c-97d742191075,CID-001,2025-09-18,1225.14,MC,USD,SampleGen
ddb2d88c-8b02-4a80-b735-5024d84cb8f3,INV-ed6f30ed-abd5-4bdf-ab2b-4583a9023d25,CID-001,2025-09-12,565.86,VISA,USD,SampleGen
d580f04c-6d42-4d1f-9384-7e47f58bc311,INV-4e2e3fda-0ac2-4926-a98c-05f697803049,CID-001,2025-10-31,294.58,MC,USD,SampleGen
