PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
e61a3b6d-4634-47ae-9331-4b6afb594206,bdb246c5-4d91-410e-9348-8a8b91f3fd7a,CID-001,2025-03-10,1212.46,VISA,Completed,SampleGen
f9cc6ea1-271b-4d84-b69d-8913ea642dee,e1a7c882-7619-4255-b55d-2f0566d023ab,CID-001,2025-03-21,489.36,VISA,Completed,SampleGen
3615d759-9dda-4d53-b186-1bb75d7451af,3b23cdde-f92d-4eba-8446-67a22271e911,CID-001,2025-06-01,326.23,MC,Completed,SampleGen
69763f90-b2ca-4f9e-a85f-9c4ecd7c6294,5dad28e0-5173-4fd7-925a-4f9807d22e00,CID-001,2025-07-25,1337.56,PayPal,Completed,SampleGen
32634704-7b78-45b6-a219-1225537e67ed,55296cab-3fd0-46c6-9394-81babc397a2b,CID-001,2025-08-05,1332.12,MC,Completed,SampleGen
9e00a0db-92f7-4a8e-a011-fde33399e003,f33e9a1b-0621-43cd-a404-a22698e41302,CID-001,2025-12-20,913.44,VISA,Completed,SampleGen
740f0689-d054-468f-adb9-73e507eac43d,fd243dbe-353f-47f4-93a3-4a9bff8aed5d,CID-001,2025-12-26,277.28,AmEx,Completed,SampleGen
e0b39e24-9e06-47bb-951f-e43f0b434b7a,dcff9b5e-7a2f-4012-b20e-22903ddac6db,CID-002,2025-03-06,1674.69,AmEx,Completed,SampleGen
2ea5fb5f-28cb-4e83-9c53-12c11567d00b,043f9a45-146a-472e-b55f-4f75d83cb79f,CID-002,2025-12-05,543.69,PayPal,Completed,SampleGen
8b4b0fa4-a54e-4a01-bbf4-176affe4add2,f7fa2304-7803-4127-a7a0-e135311a4b4d,CID-003,2025-01-17,86.99,Discover,Completed,SampleGen
d120a900-63e6-4f34-bb97-73f1f076f8fa,9e9e37ea-2d9b-4971-be28-a63e58455b4f,CID-003,2025-07-05,837.32,AmEx,Completed,SampleGen
e427fb5b-3359-46a9-9f0f-429263a06f22,1ba97e23-96f7-4c51-b831-46cd0b18b895,CID-004,2025-03-21,478.48,AmEx,Completed,SampleGen
96a36c8f-79f5-43ff-9ebf-e9fb955a456e,fcb2fd40-2659-422c-a507-e67a450f036c,CID-004,2025-09-13,587.22,AmEx,Completed,SampleGen
6f2b1afa-6bd3-40e5-ac49-49735d18eac4,fd9bc4c3-9e2e-45b2-aacf-fd4eb1f36a32,CID-005,2025-02-23,1033.05,PayPal,Completed,SampleGen
39ad3172-9e24-43bd-9113-f157a45ac355,590b1314-2a87-4422-9406-1fe162212e01,CID-005,2025-03-18,86.99,VISA,Completed,SampleGen
63cf9748-b3bf-4225-bd8b-f93d39722930,9843fced-f4b4-4c45-89bb-0d11f1028531,CID-006,2025-03-14,2022.65,PayPal,Completed,SampleGen
85f95265-c4e5-4d57-bfc9-259ab51d6075,a7b182d2-ca3a-4449-ad0c-55deb78088eb,CID-006,2025-04-16,369.73,Discover,Completed,SampleGen
3b59d36e-3110-41f5-979b-b69f1d750f13,c3a039ee-725f-4e79-b07d-fd04f62719a6,CID-006,2025-07-30,2903.53,AmEx,Completed,SampleGen
e89bfe98-0eaa-41a4-bea8-1e7ed2cf0afb,8947f215-e53b-4a7e-b1bf-4c3d9b80bceb,CID-007,2025-05-14,1794.25,MC,Completed,SampleGen
02ad66f4-1dd6-4ae1-91b7-b090749d538a,9c317bef-1482-48bf-bd73-ecd03c07d1ed,CID-007,2025-10-05,1576.77,AmEx,Completed,SampleGen
755f3a74-69e7-48cc-b9e7-793836ebe380,d77bfe82-8329-4a23-bea2-5659348f43dd,CID-008,2025-04-13,1076.56,VISA,Completed,SampleGen
4d30a3fb-cd12-4402-aba2-28c11f4d502e,a90c1ac9-1316-4665-925f-f874a6277a34,CID-008,2025-05-24,1022.19,VISA,Completed,SampleGen
987894dc-bdda-4c44-be7b-42552435cda9,305d3640-27fc-415d-bc3b-9f63ac9ed654,CID-008,2025-12-04,489.34,Discover,Completed,SampleGen
