OrderId,SalesChannelId,OrderNumber,CustomerId,CustomerAccountId,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
566dcbff-8482-4353-aa91-949bc8ca0394,Fabric,F100000,CID-001,CA-0001,2025-03-09,Completed,1114.91,97.55,1212.46,VISA,USD,SampleGen
ce85b87e-88da-4f95-aa45-d5880f12bea1,Fabric,F100001,CID-001,CA-0001,2025-03-20,Shipped,449.99,39.37,489.36,VISA,USD,SampleGen
4c132476-da15-48fb-8db8-9aa14171e15c,Fabric,F100002,CID-001,CA-0001,2025-05-31,Completed,299.98,26.25,326.23,MC,USD,SampleGen
cc24ce3a-6cfc-4b55-ae1b-ada13cc2c533,Fabric,F100003,CID-001,CA-0001,2025-07-24,Pending,1229.94,107.62,1337.56,PayPal,USD,SampleGen
4b15dce9-debe-4629-9385-fcfc4a6e536d,Fabric,F100004,CID-001,CA-0001,2025-08-04,Shipped,1224.94,107.18,1332.12,MC,USD,SampleGen
e6fb7287-d08a-4eda-8f57-1ca73c9e6528,Fabric,F100005,CID-001,CA-0001,2025-12-19,Completed,839.95,73.49,913.44,VISA,USD,SampleGen
3a41ceba-cda8-4714-b0d3-40bb8734182b,Fabric,F100006,CID-001,CA-0001,2025-12-25,Completed,254.97,22.31,277.28,AmEx,USD,SampleGen
309c30ff-4364-4096-b3a0-ac9e9584946a,Fabric,F100007,CID-002,CA-0003,2025-03-05,Completed,1539.95,134.74,1674.69,AmEx,USD,SampleGen
6319a111-c4b5-47ed-9f28-ccbfed54789b,Fabric,F100008,CID-002,CA-0003,2025-12-04,Completed,499.95,43.74,543.69,PayPal,USD,SampleGen
506d3812-8714-48e6-be72-259bdbb426c9,Fabric,F100009,CID-003,CA-0005,2025-01-16,Completed,79.99,7.0,86.99,Discover,USD,SampleGen
abee8b71-8010-4845-9125-80c30e15f723,Fabric,F100010,CID-003,CA-0005,2025-07-04,Completed,769.95,67.37,837.32,AmEx,USD,SampleGen
569c791b-9388-4daa-b847-4bbdb322487e,Fabric,F100011,CID-004,CA-0007,2025-03-20,Completed,439.98,38.5,478.48,AmEx,USD,SampleGen
ae41930b-d7d7-4651-917d-783c58583c8d,Fabric,F100012,CID-004,CA-0007,2025-09-12,Completed,539.97,47.25,587.22,AmEx,USD,SampleGen
f6e1a999-103d-45d1-a940-75eee7529741,Fabric,F100013,CID-005,CA-0009,2025-02-22,Completed,949.93,83.12,1033.05,PayPal,USD,SampleGen
f7ac75fe-533d-4019-be0e-2c75523372e1,Fabric,F100014,CID-005,CA-0009,2025-03-17,Completed,79.99,7.0,86.99,VISA,USD,SampleGen
3dc8375b-d22a-4095-8432-3304532155a4,Fabric,F100015,CID-006,CA-0011,2025-03-13,Completed,1859.91,162.74,2022.65,PayPal,USD,SampleGen
9fb7051e-e574-4450-b9fa-afd927d2287d,Fabric,F100016,CID-006,CA-0011,2025-04-15,Completed,339.98,29.75,369.73,Discover,USD,SampleGen
f3bc425d-480d-44cc-9437-8e29cc1426f3,Fabric,F100017,CID-006,CA-0011,2025-07-29,Completed,2669.92,233.61,2903.53,AmEx,USD,SampleGen
afbcf110-827f-4e12-86af-cf580e097fe3,Fabric,F100018,CID-007,CA-0013,2025-05-13,Completed,1649.89,144.36,1794.25,MC,USD,SampleGen
aca2b3d4-d393-4345-b322-735f90a74dc0,Fabric,F100019,CID-007,CA-0013,2025-10-04,Completed,1449.91,126.86,1576.77,AmEx,USD,SampleGen
66f60456-bda2-4864-bb7d-df322330590c,Fabric,F100020,CID-008,CA-0014,2025-04-12,Completed,989.94,86.62,1076.56,VISA,USD,SampleGen
55786d3a-f118-4ed1-99ec-ebb4ee6f4936,Fabric,F100021,CID-008,CA-0014,2025-05-23,Completed,939.95,82.24,1022.19,VISA,USD,SampleGen
aad24644-a723-45fe-ad8f-a5f063f51147,Fabric,F100022,CID-008,CA-0014,2025-12-03,Completed,449.97,39.37,489.34,Discover,USD,SampleGen
a5e98a14-59a4-4c67-bdd6-b632700d14b8,Fabric,F100023,CID-008,CA-0014,2025-12-24,Pending,2229.93,195.12,2425.05,Discover,USD,SampleGen
910b019c-31bb-470e-a62c-640bcba9026f,Fabric,F100024,CID-009,CA-0016,2025-12-19,Shipped,1349.97,118.12,1468.09,VISA,USD,SampleGen
130d4a74-218f-41d6-8a2a-933d8c31e739,Fabric,F100025,CID-010,CA-0018,2025-01-23,Completed,749.95,65.61,815.56,AmEx,USD,SampleGen
fda15a11-1294-4228-9507-e8339e33b8b1,Fabric,F100026,CID-010,CA-0018,2025-03-05,Completed,1739.94,152.24,1892.18,MC,USD,SampleGen
27b65de8-47fc-4b8e-b71a-1bc53c172b21,Fabric,F100027,CID-010,CA-0018,2025-04-17,Completed,579.96,50.74,630.7,AmEx,USD,SampleGen
f8ac8d46-003a-48e6-8f93-1fef7dc245cd,Fabric,F100028,CID-010,CA-0018,2025-08-13,Completed,509.97,44.62,554.59,PayPal,USD,SampleGen
587efaee-9056-4dd7-8c20-029619c48229,Fabric,F100029,CID-010,CA-0018,2025-10-06,Completed,1409.92,123.37,1533.29,PayPal,USD,SampleGen
8080ebca-ef6a-461f-93a4-feb00da58b5f,Fabric,F100030,CID-011,CA-0020,2025-09-20,Completed,2459.91,215.24,2675.15,MC,USD,SampleGen
22956855-62b6-4521-9ad3-4e21bb0aeb08,Fabric,F100031,CID-011,CA-0020,2025-10-19,Completed,899.96,78.74,978.7,VISA,USD,SampleGen
0ec2901e-cb9b-478d-bdb4-651958507e7f,Fabric,F100032,CID-011,CA-0020,2025-11-09,Completed,769.97,67.37,837.34,AmEx,USD,SampleGen
8609ccff-40cf-40e4-b6ca-addb6b50683c,Fabric,F100033,CID-011,CA-0020,2025-11-16,Cancelled,2189.91,191.61,2381.52,VISA,USD,SampleGen
d35c6c37-79bb-4c32-81a9-6b014f0bf6cc,Fabric,F100034,CID-012,CA-0022,2025-05-14,Completed,989.97,86.62,1076.59,VISA,USD,SampleGen
325b5ddf-42dc-4b0c-b9e7-1087c1b2a38d,Fabric,F100035,CID-012,CA-0022,2025-07-07,Completed,719.95,62.99,782.94,VISA,USD,SampleGen
d9167dd2-25ae-45b6-bd38-97e9d4cc2100,Fabric,F100036,CID-013,CA-0024,2025-05-23,Completed,269.97,23.62,293.59,MC,USD,SampleGen
5ae02260-9f13-41a1-9a88-15763e3213f4,Fabric,F100037,CID-013,CA-0024,2026-01-07,Completed,1429.92,125.12,1555.04,Discover,USD,SampleGen
23ccd180-312f-460c-9099-51d2cebe3c83,Fabric,F100038,CID-014,CA-0026,2025-08-30,Completed,749.95,65.62,815.57,PayPal,USD,SampleGen
07c96670-8e55-444e-9c54-de9c080c6a92,Fabric,F100039,CID-014,CA-0026,2025-12-20,Shipped,169.99,14.87,184.86,AmEx,USD,SampleGen
c23d77f2-d18d-49ed-a5b4-8b75e4187d2e,Fabric,F100040,CID-015,CA-0028,2025-01-22,Cancelled,649.96,56.87,706.83,AmEx,USD,SampleGen
58aaadd3-ffc3-47a3-87ff-7759fbde8f3e,Fabric,F100041,CID-015,CA-0028,2025-12-23,Completed,1119.95,98.0,1217.95,MC,USD,SampleGen
7f743bba-6b44-42aa-9a73-09958d52e7c0,Fabric,F100042,CID-016,CA-0030,2025-01-19,Completed,789.96,69.12,859.08,VISA,USD,SampleGen
9060489f-a86e-451b-a20e-4d90504d4872,Fabric,F100043,CID-016,CA-0030,2025-12-18,Completed,364.98,31.93,396.91,VISA,USD,SampleGen
556a3b52-640d-4d03-97ee-95797b4fe6a2,Fabric,F100044,CID-017,CA-0032,2025-04-07,Completed,1019.96,89.24,1109.2,VISA,USD,SampleGen
