InvoiceId,InvoiceNumber,CustomerId,CustomerAccountId,InvoiceDate,DueDate,InvoiceAmount,IsoCurrencyCode,CreatedBy
INV-17171e8b-4509-4fd9-9681-44f793689d7f,ID200000,CID-001,CA-0002,2025-10-03,2025-11-02,4765.52,USD,SampleGen
INV-4912bffb-c917-4ddc-aa86-e455aa87f6d6,ID200001,CID-001,CA-0002,2025-03-19,2025-04-18,559.56,USD,SampleGen
INV-67f09256-45b6-4e12-9e60-2698255403d5,ID200002,CID-001,CA-0002,2025-02-04,2025-03-06,2904.26,USD,SampleGen
INV-9973374f-0c75-4fba-9cfa-80f521f12660,ID200003,CID-001,CA-0002,2025-04-14,2025-05-14,529.88,USD,SampleGen
INV-266b08a3-57fc-4d24-a00b-d2407132b72d,ID200004,CID-001,CA-0002,2025-02-04,2025-03-06,1780.68,USD,SampleGen
INV-ea910174-269e-4bca-8c70-49ccee32fb0a,ID200005,CID-001,CA-0002,2025-11-05,2025-12-05,1331.26,USD,SampleGen
INV-c2fb7e66-10c1-44c6-a48c-9e1e72acaf71,ID200006,CID-001,CA-0002,2025-10-24,2025-11-23,392.1,USD,SampleGen
INV-cf14d5c4-def7-4225-8769-53a2315c53ea,ID200007,CID-001,CA-0002,2025-09-20,2025-10-20,2043.5,USD,SampleGen
INV-ec5021ae-0432-4380-9102-37f5adf4a13e,ID200008,CID-001,CA-0002,2025-11-12,2025-12-12,716.44,USD,SampleGen
INV-5780b34f-334c-424c-9145-b01709b5d918,ID200009,CID-001,CA-0002,2025-04-08,2025-05-08,7517.26,USD,SampleGen
INV-4858ff66-755b-46c8-b424-274e0535eff3,ID200010,CID-001,CA-0002,2025-02-06,2025-03-08,1098.06,USD,SampleGen
INV-4c6a2dda-b4ac-49ff-8da9-6c5153ad51b9,ID200011,CID-001,CA-0002,2025-11-16,2025-12-16,3875.08,USD,SampleGen
INV-83bdf24f-aa30-4eba-a515-f7f0dfd1e827,ID200012,CID-001,CA-0002,2025-08-02,2025-09-01,525.6,USD,SampleGen
INV-8969723a-38fb-41ee-8e3a-0014663cd653,ID200013,CID-002,CA-0004,2025-11-02,2025-12-02,1700.02,USD,SampleGen
INV-6bf9b436-c0ca-4b1a-a1ac-549c81e3c1fd,ID200014,CID-002,CA-0004,2025-03-08,2025-04-07,847.8,USD,SampleGen
INV-73f6cf2a-9f13-439d-971e-8a96bd009395,ID200015,CID-002,CA-0004,2025-01-17,2025-02-16,2878.82,USD,SampleGen
INV-52f104fb-97d0-4552-b06a-38023688e52d,ID200016,CID-003,CA-0006,2025-09-23,2025-10-23,1017.4,USD,SampleGen
INV-11bc2f39-899e-42af-8c6a-20332aabe00b,ID200017,CID-003,CA-0006,2025-02-13,2025-03-15,673.98,USD,SampleGen
INV-a4643cf6-75c3-48c2-a1eb-81226a5b85ab,ID200018,CID-003,CA-0006,2025-10-24,2025-11-23,635.9,USD,SampleGen
INV-a54a1d62-f9f2-425d-ae41-45a8c40a711e,ID200019,CID-003,CA-0006,2025-10-24,2025-11-23,1015.38,USD,SampleGen
INV-966b18c0-f19b-4ac7-9a59-e4a2c2ea8eac,ID200020,CID-003,CA-0006,2025-04-06,2025-05-06,1610.92,USD,SampleGen
INV-9739a0a4-efca-4058-b95f-9f012e60d985,ID200021,CID-003,CA-0006,2025-10-13,2025-11-12,1865.34,USD,SampleGen
INV-05eb89c2-4e4e-4e7e-a7e4-c44d09f20ca5,ID200022,CID-003,CA-0006,2025-05-25,2025-06-24,2001.12,USD,SampleGen
INV-5fbc3323-680e-4611-8efb-d12c32df1b12,ID200023,CID-004,CA-0008,2025-01-20,2025-02-19,5113.24,USD,SampleGen
INV-0db4b6f3-d6fa-4361-9085-23715b471e2a,ID200024,CID-004,CA-0008,2026-01-03,2026-02-02,4188.96,USD,SampleGen
INV-8812fca3-4254-44c0-8ff9-50c38d42101f,ID200025,CID-004,CA-0008,2025-04-15,2025-05-15,1625.8,USD,SampleGen
INV-de22e585-62e6-4296-8dba-5933d2f0a93c,ID200026,CID-004,CA-0008,2025-05-31,2025-06-30,3158.58,USD,SampleGen
INV-8e7b508a-cf0f-4f18-a290-91faf4410222,ID200027,CID-005,CA-0010,2025-07-10,2025-08-09,4184.74,USD,SampleGen
INV-179e94b0-411c-4b6b-8357-401e20d11f14,ID200028,CID-005,CA-0010,2026-01-12,2026-02-11,1734.04,USD,SampleGen
INV-4beb61a6-117e-4164-b51b-955dd9fd7491,ID200029,CID-005,CA-0010,2025-09-05,2025-10-05,430.22,USD,SampleGen
INV-293a897f-af1d-428b-be53-253926cc44a6,ID200030,CID-005,CA-0010,2025-04-07,2025-05-07,292.44,USD,SampleGen
INV-c163e4c5-c389-4630-b322-256ecdad9395,ID200031,CID-005,CA-0010,2025-10-15,2025-11-14,4627.78,USD,SampleGen
INV-34073d4f-6b3b-4300-80c1-adcc090f4ba5,ID200032,CID-005,CA-0010,2025-04-24,2025-05-24,7194.98,USD,SampleGen
INV-33cec3e2-ecc5-4b76-b07e-c4c4cb78ed34,ID200033,CID-005,CA-0010,2025-01-03,2025-02-02,1589.9,USD,SampleGen
INV-1ad61551-989a-479e-9430-48360e0bf1c3,ID200034,CID-005,CA-0010,2025-11-23,2025-12-23,1780.64,USD,SampleGen
INV-ac206e84-dab6-4ea2-968d-4d17a4eeeda8,ID200035,CID-005,CA-0010,2026-01-13,2026-02-12,4837.62,USD,SampleGen
INV-4ead5d35-9db6-4c58-b3e7-ae002fdcc0d2,ID200036,CID-005,CA-0010,2025-12-01,2025-12-31,1343.82,USD,SampleGen
INV-411be3e2-d8b7-463f-92d6-7749dc4aa794,ID200037,CID-006,CA-0012,2025-11-01,2025-12-01,875.34,USD,SampleGen
INV-467f97ff-caec-4606-9374-68764252dca5,ID200038,CID-006,CA-0012,2025-10-20,2025-11-19,551.12,USD,SampleGen
INV-25e13844-0c7e-492d-95c1-f390aea05065,ID200039,CID-006,CA-0012,2025-12-27,2026-01-26,3976.9,USD,SampleGen
INV-59ab118d-6a2b-45bb-bc0d-ae9c5f7594c3,ID200040,CID-006,CA-0012,2025-02-27,2025-03-29,1971.46,USD,SampleGen
INV-1982f301-0c4e-4a17-8e92-e097d01d59ce,ID200041,CID-006,CA-0012,2025-04-07,2025-05-07,309.44,USD,SampleGen
INV-0791a42f-0e38-420a-9cdf-5eab148b0bb5,ID200042,CID-006,CA-0012,2026-01-15,2026-02-14,2382.68,USD,SampleGen
INV-fdae14e8-64f3-4106-b9b7-821e96935bab,ID200043,CID-006,CA-0012,2025-12-30,2026-01-29,4023.5,USD,SampleGen
INV-830bc898-22ae-47fb-b58b-52e8a6e2ca53,ID200044,CID-006,CA-0012,2025-04-25,2025-05-25,1437.18,USD,SampleGen
INV-77eb8f52-d95a-4cf1-b9ee-d7cae1a23a0a,ID200045,CID-006,CA-0012,2025-10-01,2025-10-31,1036.42,USD,SampleGen
INV-3a7d49fd-22e8-4aa7-9f7d-f85ec35e7d59,ID200046,CID-006,CA-0012,2025-12-07,2026-01-06,1095.8,USD,SampleGen
INV-dc4fe82f-c304-4276-9924-7db3d8819f58,ID200047,CID-006,CA-0012,2025-02-25,2025-03-27,5783.1,USD,SampleGen
INV-b20718dc-402f-4e3c-b33d-4c8d094f08b8,ID200048,CID-006,CA-0012,2025-02-25,2025-03-27,1899.4,USD,SampleGen
INV-09938f79-612b-4886-9696-f86ccfa1e717,ID200049,CID-006,CA-0012,2025-10-14,2025-11-13,985.6,USD,SampleGen
INV-cde4837e-6820-462c-8537-ba4dcf500eeb,ID200050,CID-006,CA-0012,2025-11-11,2025-12-11,3807.4,USD,SampleGen
INV-9bf33a19-434f-4e8b-ba26-74bcc8b8c6cb,ID200051,CID-006,CA-0012,2026-01-08,2026-02-07,1784.9,USD,SampleGen
INV-a6465f0b-f221-46e1-b98b-d887ab89f593,ID200052,CID-006,CA-0012,2025-09-01,2025-10-01,682.52,USD,SampleGen
INV-f1579259-792f-48bb-8bbf-dcba16708dc4,ID200053,CID-006,CA-0012,2025-05-01,2025-05-31,4288.48,USD,SampleGen
INV-40377b80-3954-463e-ba25-cc14026f0130,ID200054,CID-006,CA-0012,2025-05-07,2025-06-06,4320.42,USD,SampleGen
INV-01552012-2778-413d-bf35-e3d68413bf55,ID200055,CID-006,CA-0012,2025-12-17,2026-01-16,2013.9,USD,SampleGen
INV-7228d42a-48c5-4444-a05e-4b63f5f5821c,ID200056,CID-007,CA-1477,2025-12-16,2026-01-15,6270.66,USD,SampleGen
INV-9bdc229c-3f51-4d1a-b8fc-2475b06ce92f,ID200057,CID-007,CA-1477,2025-01-27,2025-02-26,1004.76,USD,SampleGen
INV-8445d0c4-7a4a-473e-a73d-9d5018654116,ID200058,CID-007,CA-1477,2025-11-06,2025-12-06,1331.26,USD,SampleGen
INV-75274c25-97dc-4c4a-9cb2-df4425a9a7c7,ID200059,CID-008,CA-0015,2026-01-01,2026-01-31,1888.82,USD,SampleGen
INV-c34254f2-3901-4ae0-9e09-bac0d2dc9f5f,ID200060,CID-008,CA-0015,2025-11-03,2025-12-03,3644.0,USD,SampleGen
INV-9a7ed79b-6820-4f7a-96e9-6de971bf87b2,ID200061,CID-008,CA-0015,2025-10-14,2025-11-13,762.98,USD,SampleGen
INV-e9fd6152-56af-4cdf-aa7c-47601dca3d67,ID200062,CID-008,CA-0015,2025-12-29,2026-01-28,2433.52,USD,SampleGen
INV-fad2915b-2b0e-48a6-9876-e9822f33b3bb,ID200063,CID-008,CA-0015,2025-12-02,2026-01-01,2174.88,USD,SampleGen
INV-dbc3f13b-22ac-4dab-bc61-94488d8bb6ad,ID200064,CID-008,CA-0015,2025-08-23,2025-09-22,824.46,USD,SampleGen
INV-a8ed0ad6-65d5-47d3-a7fe-f2e2c4c6f961,ID200065,CID-008,CA-0015,2025-07-29,2025-08-28,3900.68,USD,SampleGen
