InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-b3281c61-e6a6-4d89-a31e-9f2b5e0818a4,IS300000,CID-001,b3281c61-e6a6-4d89-a31e-9f2b5e0818a4,2025-05-03,2025-06-02,379.98,33.25,413.23,Paid,SampleGen
INV-b649e553-d0d5-4a15-a471-aed66094d97f,IS300001,CID-001,b649e553-d0d5-4a15-a471-aed66094d97f,2025-09-06,2025-10-06,1299.98,113.75,1413.73,Paid,SampleGen
INV-a6bf621a-82c7-4d53-82a0-e423adde7dd3,IS300002,CID-001,a6bf621a-82c7-4d53-82a0-e423adde7dd3,2025-06-25,2025-07-25,574.94,50.31,625.25,Paid,SampleGen
INV-f8ae161d-cc72-4f42-b339-729aa3c68c75,IS300003,CID-002,f8ae161d-cc72-4f42-b339-729aa3c68c75,2025-08-19,2025-09-18,349.97,30.62,380.59,Paid,SampleGen
INV-e16d20ec-7a8a-4aff-8490-0d8858724732,IS300004,CID-002,e16d20ec-7a8a-4aff-8490-0d8858724732,2025-04-04,2025-05-04,1049.94,91.87,1141.81,Paid,SampleGen
INV-c3d0a417-e027-4518-b6d0-1d7c1057db66,IS300005,CID-003,c3d0a417-e027-4518-b6d0-1d7c1057db66,2025-10-03,2025-11-02,1259.95,110.25,1370.2,Paid,SampleGen
INV-21fdbf75-86e1-4ef3-8edc-cae25e3c6c48,IS300006,CID-003,21fdbf75-86e1-4ef3-8edc-cae25e3c6c48,2025-02-16,2025-03-18,1159.98,101.5,1261.48,Paid,SampleGen
INV-7a1f1ebc-e851-46c1-b09d-34a2b4e715c0,IS300007,CID-003,7a1f1ebc-e851-46c1-b09d-34a2b4e715c0,2025-01-29,2025-02-28,1159.98,101.5,1261.48,Paid,SampleGen
INV-884c0661-9ad0-4fa1-ba84-daa95974507c,IS300008,CID-003,884c0661-9ad0-4fa1-ba84-daa95974507c,2025-12-01,2025-12-31,189.99,16.62,206.61,Paid,SampleGen
INV-a2a4c870-e0fe-41b8-8a79-158a69475226,IS300009,CID-003,a2a4c870-e0fe-41b8-8a79-158a69475226,2025-12-04,2026-01-03,3499.95,306.25,3806.2,Paid,SampleGen
INV-7ada0bc4-6ae0-4b3c-8d6d-7db84478089b,IS300010,CID-004,7ada0bc4-6ae0-4b3c-8d6d-7db84478089b,2025-09-20,2025-10-20,849.97,74.37,924.34,Paid,SampleGen
INV-c915f7f3-1ff3-4f49-9941-2661bdca5b3a,IS300011,CID-005,c915f7f3-1ff3-4f49-9941-2661bdca5b3a,2025-12-04,2026-01-03,2599.98,227.5,2827.48,Paid,SampleGen
INV-e1c4e3ba-77e1-4c4f-9f64-e467af43e4dc,IS300012,CID-005,e1c4e3ba-77e1-4c4f-9f64-e467af43e4dc,2026-01-17,2026-02-16,4649.93,406.87,5056.8,Paid,SampleGen
INV-8864b113-1c14-4ae9-ac35-d29884e634e4,IS300013,CID-006,8864b113-1c14-4ae9-ac35-d29884e634e4,2025-02-09,2025-03-11,1014.95,88.81,1103.76,Paid,SampleGen
INV-831de78d-a3c0-4d48-b982-e72a04c870e2,IS300014,CID-006,831de78d-a3c0-4d48-b982-e72a04c870e2,2026-01-07,2026-02-06,609.97,53.37,663.34,Paid,SampleGen
INV-5a6ac702-6bd6-4637-b0fd-2e2ea91fffd2,IS300015,CID-006,5a6ac702-6bd6-4637-b0fd-2e2ea91fffd2,2025-05-15,2025-06-14,649.98,56.87,706.85,Paid,SampleGen
INV-4342c47d-0d52-452c-b41a-881a5166f622,IS300016,CID-006,4342c47d-0d52-452c-b41a-881a5166f622,2025-06-19,2025-07-19,1169.95,102.37,1272.32,Paid,SampleGen
INV-cd20d4e9-ea38-4419-aa07-87acf1da455f,IS300017,CID-006,cd20d4e9-ea38-4419-aa07-87acf1da455f,2025-12-24,2026-01-23,399.99,35.0,434.99,Paid,SampleGen
INV-a7adfad2-8ada-4066-b50d-9f636d668135,IS300018,CID-006,a7adfad2-8ada-4066-b50d-9f636d668135,2025-09-03,2025-10-03,829.97,72.62,902.59,Paid,SampleGen
INV-6059fa87-3321-475d-b043-8899dca5c668,IS300019,CID-007,6059fa87-3321-475d-b043-8899dca5c668,2025-07-12,2025-08-11,799.99,70.0,869.99,Paid,SampleGen
INV-9cdc256b-f71f-4dd8-99c5-1907c29fbb4f,IS300020,CID-008,9cdc256b-f71f-4dd8-99c5-1907c29fbb4f,2025-05-25,2025-06-24,5499.94,481.25,5981.19,Paid,SampleGen
INV-2e5ecc04-d2c9-4984-95fc-c9bb05447093,IS300021,CID-008,2e5ecc04-d2c9-4984-95fc-c9bb05447093,2025-11-05,2025-12-05,899.99,78.75,978.74,Paid,SampleGen
INV-f2b9e80b-4417-4ea1-a069-68b219aa13f3,IS300022,CID-008,f2b9e80b-4417-4ea1-a069-68b219aa13f3,2025-10-15,2025-11-14,2299.94,201.25,2501.19,Paid,SampleGen
INV-925e7bde-cbde-44bd-ad95-8b0b24266501,IS300023,CID-008,925e7bde-cbde-44bd-ad95-8b0b24266501,2025-01-08,2025-02-07,909.97,79.62,989.59,Paid,SampleGen
INV-f4d8d572-db3d-4478-a374-f3536885ccf1,IS300024,CID-008,f4d8d572-db3d-4478-a374-f3536885ccf1,2025-12-15,2026-01-14,3409.93,298.37,3708.3,Paid,SampleGen
INV-1a28db14-3a18-4300-862f-ed93a97b3873,IS300025,CID-009,1a28db14-3a18-4300-862f-ed93a97b3873,2025-11-24,2025-12-24,2809.94,245.87,3055.81,Paid,SampleGen
INV-3d89dc26-c716-480c-b64a-af1bc57397e1,IS300026,CID-009,3d89dc26-c716-480c-b64a-af1bc57397e1,2025-05-27,2025-06-26,479.97,42.0,521.97,Paid,SampleGen
INV-fd592263-448f-4680-a97a-fd1f3eb72b00,IS300027,CID-010,fd592263-448f-4680-a97a-fd1f3eb72b00,2025-10-29,2025-11-28,1529.95,133.86,1663.81,Paid,SampleGen
INV-1f3a322d-ec6b-44b4-b026-cb8a5e1e6a2c,IS300028,CID-010,1f3a322d-ec6b-44b4-b026-cb8a5e1e6a2c,2025-08-22,2025-09-21,1279.95,112.0,1391.95,Paid,SampleGen
