PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-b3281c61-e6a6-4d89-a31e-9f2b5e0818a4,INV-b3281c61-e6a6-4d89-a31e-9f2b5e0818a4,CID-001,2025-05-03,413.23,AmEx,Completed,SampleGen
PAY-b649e553-d0d5-4a15-a471-aed66094d97f,INV-b649e553-d0d5-4a15-a471-aed66094d97f,CID-001,2025-09-06,1413.73,AmEx,Completed,SampleGen
PAY-a6bf621a-82c7-4d53-82a0-e423adde7dd3,INV-a6bf621a-82c7-4d53-82a0-e423adde7dd3,CID-001,2025-06-25,625.25,VISA,Completed,SampleGen
PAY-f8ae161d-cc72-4f42-b339-729aa3c68c75,INV-f8ae161d-cc72-4f42-b339-729aa3c68c75,CID-002,2025-08-19,380.59,AmEx,Completed,SampleGen
PAY-e16d20ec-7a8a-4aff-8490-0d8858724732,INV-e16d20ec-7a8a-4aff-8490-0d8858724732,CID-002,2025-04-04,1141.81,VISA,Completed,SampleGen
PAY-c3d0a417-e027-4518-b6d0-1d7c1057db66,INV-c3d0a417-e027-4518-b6d0-1d7c1057db66,CID-003,2025-10-03,1370.2,VISA,Completed,SampleGen
PAY-21fdbf75-86e1-4ef3-8edc-cae25e3c6c48,INV-21fdbf75-86e1-4ef3-8edc-cae25e3c6c48,CID-003,2025-02-16,1261.48,AmEx,Completed,SampleGen
PAY-7a1f1ebc-e851-46c1-b09d-34a2b4e715c0,INV-7a1f1ebc-e851-46c1-b09d-34a2b4e715c0,CID-003,2025-01-29,1261.48,MC,Completed,SampleGen
PAY-884c0661-9ad0-4fa1-ba84-daa95974507c,INV-884c0661-9ad0-4fa1-ba84-daa95974507c,CID-003,2025-12-01,206.61,VISA,Completed,SampleGen
PAY-a2a4c870-e0fe-41b8-8a79-158a69475226,INV-a2a4c870-e0fe-41b8-8a79-158a69475226,CID-003,2025-12-04,3806.2,PayPal,Completed,SampleGen
PAY-7ada0bc4-6ae0-4b3c-8d6d-7db84478089b,INV-7ada0bc4-6ae0-4b3c-8d6d-7db84478089b,CID-004,2025-09-20,924.34,MC,Completed,SampleGen
PAY-c915f7f3-1ff3-4f49-9941-2661bdca5b3a,INV-c915f7f3-1ff3-4f49-9941-2661bdca5b3a,CID-005,2025-12-04,2827.48,PayPal,Completed,SampleGen
PAY-e1c4e3ba-77e1-4c4f-9f64-e467af43e4dc,INV-e1c4e3ba-77e1-4c4f-9f64-e467af43e4dc,CID-005,2026-01-17,5056.8,MC,Completed,SampleGen
PAY-8864b113-1c14-4ae9-ac35-d29884e634e4,INV-8864b113-1c14-4ae9-ac35-d29884e634e4,CID-006,2025-02-09,1103.76,Discover,Completed,SampleGen
PAY-831de78d-a3c0-4d48-b982-e72a04c870e2,INV-831de78d-a3c0-4d48-b982-e72a04c870e2,CID-006,2026-01-07,663.34,VISA,Completed,SampleGen
PAY-5a6ac702-6bd6-4637-b0fd-2e2ea91fffd2,INV-5a6ac702-6bd6-4637-b0fd-2e2ea91fffd2,CID-006,2025-05-15,706.85,VISA,Completed,SampleGen
PAY-4342c47d-0d52-452c-b41a-881a5166f622,INV-4342c47d-0d52-452c-b41a-881a5166f622,CID-006,2025-06-19,1272.32,AmEx,Completed,SampleGen
PAY-cd20d4e9-ea38-4419-aa07-87acf1da455f,INV-cd20d4e9-ea38-4419-aa07-87acf1da455f,CID-006,2025-12-24,434.99,Discover,Completed,SampleGen
PAY-a7adfad2-8ada-4066-b50d-9f636d668135,INV-a7adfad2-8ada-4066-b50d-9f636d668135,CID-006,2025-09-03,902.59,VISA,Completed,SampleGen
PAY-6059fa87-3321-475d-b043-8899dca5c668,INV-6059fa87-3321-475d-b043-8899dca5c668,CID-007,2025-07-12,869.99,VISA,Completed,SampleGen
PAY-9cdc256b-f71f-4dd8-99c5-1907c29fbb4f,INV-9cdc256b-f71f-4dd8-99c5-1907c29fbb4f,CID-008,2025-05-25,5981.19,AmEx,Completed,SampleGen
PAY-2e5ecc04-d2c9-4984-95fc-c9bb05447093,INV-2e5ecc04-d2c9-4984-95fc-c9bb05447093,CID-008,2025-11-05,978.74,AmEx,Completed,SampleGen
PAY-f2b9e80b-4417-4ea1-a069-68b219aa13f3,INV-f2b9e80b-4417-4ea1-a069-68b219aa13f3,CID-008,2025-10-15,2501.19,VISA,Completed,SampleGen
PAY-925e7bde-cbde-44bd-ad95-8b0b24266501,INV-925e7bde-cbde-44bd-ad95-8b0b24266501,CID-008,2025-01-08,989.59,MC,Completed,SampleGen
