InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-1084e4ca-2375-4d54-9683-60853b78c643,IS300000,CID-001,1084e4ca-2375-4d54-9683-60853b78c643,2025-08-07,2025-09-06,1089.95,95.37,1185.32,Paid,SampleGen
INV-1d958c99-d684-41dd-8e0f-097c67ef2728,IS300001,CID-001,1d958c99-d684-41dd-8e0f-097c67ef2728,2025-12-17,2026-01-16,3299.95,288.75,3588.7,Paid,SampleGen
INV-448a44e6-ff44-4170-b7b4-d9a1f3b1c2cd,IS300002,CID-001,448a44e6-ff44-4170-b7b4-d9a1f3b1c2cd,2025-03-29,2025-04-28,1789.94,156.62,1946.56,Paid,SampleGen
INV-acbeed63-6443-420e-85ad-893c1e928358,IS300003,CID-002,acbeed63-6443-420e-85ad-893c1e928358,2025-08-02,2025-09-01,459.97,40.25,500.22,Paid,SampleGen
INV-77fc9867-cd03-4f58-92a0-60474f19f29a,IS300004,CID-003,77fc9867-cd03-4f58-92a0-60474f19f29a,2025-03-05,2025-04-04,1299.99,113.75,1413.74,Paid,SampleGen
INV-b2c65415-a936-42ca-b24f-1bab3be98b16,IS300005,CID-003,b2c65415-a936-42ca-b24f-1bab3be98b16,2025-11-03,2025-12-03,1299.98,113.75,1413.73,Paid,SampleGen
INV-a9e58662-08ca-436f-8bfe-4f04320988f6,IS300006,CID-003,a9e58662-08ca-436f-8bfe-4f04320988f6,2026-02-16,2026-03-18,499.98,43.75,543.73,Paid,SampleGen
INV-bf6aa1fa-c643-4648-9ed7-d16b3ba05167,IS300007,CID-003,bf6aa1fa-c643-4648-9ed7-d16b3ba05167,2025-05-23,2025-06-22,599.97,52.5,652.47,Paid,SampleGen
INV-6e11078c-82f6-4156-8548-af7003f28eb9,IS300008,CID-004,6e11078c-82f6-4156-8548-af7003f28eb9,2025-08-06,2025-09-05,239.98,21.0,260.98,Paid,SampleGen
INV-d201d0cd-3785-487a-842f-89af47615e2a,IS300009,CID-004,d201d0cd-3785-487a-842f-89af47615e2a,2025-07-26,2025-08-25,1499.95,131.25,1631.2,Paid,SampleGen
INV-322a5e80-ad36-4b73-9d42-405acaa07326,IS300010,CID-005,322a5e80-ad36-4b73-9d42-405acaa07326,2025-04-17,2025-05-17,2339.94,204.75,2544.69,Paid,SampleGen
INV-03b75889-edc9-4dbc-80c4-6f81d5fba5dd,IS300011,CID-005,03b75889-edc9-4dbc-80c4-6f81d5fba5dd,2025-02-17,2025-03-19,3899.97,341.25,4241.22,Paid,SampleGen
INV-6f542328-6d57-4b5f-8372-a157d660836d,IS300012,CID-006,6f542328-6d57-4b5f-8372-a157d660836d,2025-05-17,2025-06-16,1539.95,134.75,1674.7,Paid,SampleGen
INV-a5d5483c-e6a3-4e8f-9018-3a794dc92e60,IS300013,CID-006,a5d5483c-e6a3-4e8f-9018-3a794dc92e60,2025-04-07,2025-05-07,619.96,54.25,674.21,Paid,SampleGen
INV-dd504d77-a757-4da1-8010-0373759ec592,IS300014,CID-006,dd504d77-a757-4da1-8010-0373759ec592,2025-10-31,2025-11-30,739.97,64.75,804.72,Paid,SampleGen
INV-ea8b3eb9-fdff-4efd-90b6-b0b18b606d45,IS300015,CID-006,ea8b3eb9-fdff-4efd-90b6-b0b18b606d45,2025-10-02,2025-11-01,459.96,40.25,500.21,Paid,SampleGen
INV-6923a851-530e-4b4f-92f3-97c274c5cb5e,IS300016,CID-007,6923a851-530e-4b4f-92f3-97c274c5cb5e,2025-10-26,2025-11-25,2999.97,262.5,3262.47,Paid,SampleGen
INV-60430c17-5181-4f90-8909-8e47eb4eac25,IS300017,CID-007,60430c17-5181-4f90-8909-8e47eb4eac25,2025-01-07,2025-02-06,1599.96,140.0,1739.96,Paid,SampleGen
INV-c9e7ffc6-92f0-47a4-883b-1c5ef32eddb3,IS300018,CID-008,c9e7ffc6-92f0-47a4-883b-1c5ef32eddb3,2025-04-19,2025-05-19,1979.96,173.25,2153.21,Paid,SampleGen
INV-f1de042c-6ce6-40ec-9e63-f2cd696ce664,IS300019,CID-008,f1de042c-6ce6-40ec-9e63-f2cd696ce664,2025-10-29,2025-11-28,339.97,29.75,369.72,Paid,SampleGen
INV-ac787249-ecb8-401c-b931-325c38a8eaf4,IS300020,CID-009,ac787249-ecb8-401c-b931-325c38a8eaf4,2025-10-15,2025-11-14,399.99,35.0,434.99,Paid,SampleGen
INV-8c5a9532-c4b1-4946-a9d6-552802b0aa8a,IS300021,CID-010,8c5a9532-c4b1-4946-a9d6-552802b0aa8a,2025-03-07,2025-04-06,1969.93,172.37,2142.3,Paid,SampleGen
INV-fc015223-fe38-4023-978e-b08a34c05107,IS300022,CID-010,fc015223-fe38-4023-978e-b08a34c05107,2025-06-28,2025-07-28,649.99,56.87,706.86,Paid,SampleGen
INV-33c1239c-4204-4828-ba84-7b4d1163a8b8,IS300023,CID-010,33c1239c-4204-4828-ba84-7b4d1163a8b8,2026-02-28,2026-03-30,1599.95,140.0,1739.95,Paid,SampleGen
INV-098307d2-5b2d-4ce6-8cfb-0809de3735ef,IS300024,CID-010,098307d2-5b2d-4ce6-8cfb-0809de3735ef,2025-09-26,2025-10-26,1039.96,91.0,1130.96,Paid,SampleGen
INV-00995a0a-fef8-4741-95c4-49772a968b8d,IS300025,CID-010,00995a0a-fef8-4741-95c4-49772a968b8d,2026-01-01,2026-01-31,1299.99,113.75,1413.74,Paid,SampleGen
INV-3d600616-4f1f-49f8-ae2e-3afb5309a89a,IS300026,CID-010,3d600616-4f1f-49f8-ae2e-3afb5309a89a,2025-12-17,2026-01-16,259.98,22.75,282.73,Paid,SampleGen
INV-6fe4566f-4ff1-41c8-a404-665f2c74d761,IS300027,CID-011,6fe4566f-4ff1-41c8-a404-665f2c74d761,2025-12-05,2026-01-04,1399.97,122.5,1522.47,Paid,SampleGen
INV-0e10aa30-05b6-4e3e-a3f8-b4807e808ccc,IS300028,CID-011,0e10aa30-05b6-4e3e-a3f8-b4807e808ccc,2025-05-05,2025-06-04,499.97,43.75,543.72,Paid,SampleGen
INV-940191da-4a36-4b3c-a6d7-0b8cfe974bb2,IS300029,CID-012,940191da-4a36-4b3c-a6d7-0b8cfe974bb2,2026-01-09,2026-02-08,179.99,15.75,195.74,Paid,SampleGen
INV-bc08448c-734a-4683-8b8a-7a30827e23fd,IS300030,CID-013,bc08448c-734a-4683-8b8a-7a30827e23fd,2025-11-29,2025-12-29,1119.96,98.0,1217.96,Paid,SampleGen
INV-edd8cfa9-ab37-415e-9df4-6c373601c22f,IS300031,CID-013,edd8cfa9-ab37-415e-9df4-6c373601c22f,2025-12-10,2026-01-09,4899.92,428.75,5328.67,Paid,SampleGen
INV-62a88325-34c4-4060-8ee8-9d9ac990df2d,IS300032,CID-013,62a88325-34c4-4060-8ee8-9d9ac990df2d,2025-10-26,2025-11-25,1899.96,166.24,2066.2,Paid,SampleGen
INV-ed829943-f5e7-486c-87cf-5251a272f22c,IS300033,CID-013,ed829943-f5e7-486c-87cf-5251a272f22c,2025-06-02,2025-07-02,239.98,21.0,260.98,Paid,SampleGen
INV-ccf81caf-0e19-413d-b120-8bec83427fda,IS300034,CID-014,ccf81caf-0e19-413d-b120-8bec83427fda,2025-05-26,2025-06-25,569.97,49.87,619.84,Paid,SampleGen
INV-ff2dfaea-7211-47b1-b72d-0985f2df0c6c,IS300035,CID-014,ff2dfaea-7211-47b1-b72d-0985f2df0c6c,2025-01-18,2025-02-17,2519.93,220.5,2740.43,Paid,SampleGen
INV-669385b4-db02-4a8f-b683-b8785de9bc5d,IS300036,CID-015,669385b4-db02-4a8f-b683-b8785de9bc5d,2025-02-13,2025-03-15,1879.97,164.5,2044.47,Paid,SampleGen
INV-cec64c1f-b9a9-4904-a1c0-0a30040c6ccd,IS300037,CID-016,cec64c1f-b9a9-4904-a1c0-0a30040c6ccd,2025-09-22,2025-10-22,3999.94,350.0,4349.94,Paid,SampleGen
INV-b40b1b6e-5763-4e39-9273-7e1b193f0d4f,IS300038,CID-016,b40b1b6e-5763-4e39-9273-7e1b193f0d4f,2025-05-02,2025-06-01,2599.97,227.5,2827.47,Paid,SampleGen
INV-f8504a24-9e84-476f-9670-29ef695bcdd4,IS300039,CID-017,f8504a24-9e84-476f-9670-29ef695bcdd4,2025-10-10,2025-11-09,2899.93,253.75,3153.68,Paid,SampleGen
INV-7f37a967-a310-4551-91f8-ddfdd504efb3,IS300040,CID-017,7f37a967-a310-4551-91f8-ddfdd504efb3,2025-02-03,2025-03-05,3499.97,306.25,3806.22,Paid,SampleGen
INV-4991fda0-7323-40c7-85db-1648f2a15b3d,IS300041,CID-017,4991fda0-7323-40c7-85db-1648f2a15b3d,2025-11-20,2025-12-20,1679.97,146.99,1826.96,Paid,SampleGen
INV-ab260506-7073-4ffd-a024-b1c50f026e2a,IS300042,CID-018,ab260506-7073-4ffd-a024-b1c50f026e2a,2026-01-31,2026-03-02,6329.92,553.87,6883.79,Paid,SampleGen
INV-0939cb3e-a0da-4cbf-a581-0e5b7860e706,IS300043,CID-018,0939cb3e-a0da-4cbf-a581-0e5b7860e706,2026-02-11,2026-03-13,4049.94,354.37,4404.31,Paid,SampleGen
INV-51e1191b-b042-4ad8-b448-89c4720d8534,IS300044,CID-018,51e1191b-b042-4ad8-b448-89c4720d8534,2025-09-11,2025-10-11,1269.96,111.12,1381.08,Paid,SampleGen
INV-09359720-f62a-4f84-9a05-350bc233b073,IS300045,CID-019,09359720-f62a-4f84-9a05-350bc233b073,2025-12-30,2026-01-29,2529.96,221.37,2751.33,Paid,SampleGen
INV-195d6d0d-5696-4ffe-9a3d-3de8fbccfade,IS300046,CID-019,195d6d0d-5696-4ffe-9a3d-3de8fbccfade,2025-03-19,2025-04-18,779.96,68.25,848.21,Paid,SampleGen
