AccountId,AccountNumber,CustomerId,AccountType,AccountStatus,CreatedDate,ClosedDate,Balance,Currency,Description,CreatedBy
ACCT-ADB-CID-001,ACC-CID-001-ADB,CID-001,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-001 - ADB Channel,SampleGen
ACCT-ADB-CID-002,ACC-CID-002-ADB,CID-002,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-002 - ADB Channel,SampleGen
ACCT-ADB-CID-003,ACC-CID-003-ADB,CID-003,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-003 - ADB Channel,SampleGen
ACCT-ADB-CID-004,ACC-CID-004-ADB,CID-004,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-004 - ADB Channel,SampleGen
ACCT-ADB-CID-005,ACC-CID-005-ADB,CID-005,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-005 - ADB Channel,SampleGen
ACCT-ADB-CID-006,ACC-CID-006-ADB,CID-006,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-006 - ADB Channel,SampleGen
ACCT-ADB-CID-008,ACC-CID-008-ADB,CID-008,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-008 - ADB Channel,SampleGen
ACCT-ADB-CID-009,ACC-CID-009-ADB,CID-009,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-009 - ADB Channel,SampleGen
ACCT-ADB-CID-010,ACC-CID-010-ADB,CID-010,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-010 - ADB Channel,SampleGen
ACCT-ADB-CID-011,ACC-CID-011-ADB,CID-011,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-011 - ADB Channel,SampleGen
ACCT-ADB-CID-012,ACC-CID-012-ADB,CID-012,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-012 - ADB Channel,SampleGen
ACCT-ADB-CID-013,ACC-CID-013-ADB,CID-013,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-013 - ADB Channel,SampleGen
ACCT-ADB-CID-014,ACC-CID-014-ADB,CID-014,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-014 - ADB Channel,SampleGen
ACCT-ADB-CID-015,ACC-CID-015-ADB,CID-015,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-015 - ADB Channel,SampleGen
ACCT-ADB-CID-016,ACC-CID-016-ADB,CID-016,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-016 - ADB Channel,SampleGen
ACCT-ADB-CID-017,ACC-CID-017-ADB,CID-017,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-017 - ADB Channel,SampleGen
ACCT-ADB-CID-020,ACC-CID-020-ADB,CID-020,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-020 - ADB Channel,SampleGen
ACCT-ADB-CID-021,ACC-CID-021-ADB,CID-021,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-021 - ADB Channel,SampleGen
ACCT-ADB-CID-023,ACC-CID-023-ADB,CID-023,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-023 - ADB Channel,SampleGen
ACCT-ADB-CID-024,ACC-CID-024-ADB,CID-024,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-024 - ADB Channel,SampleGen
ACCT-ADB-CID-026,ACC-CID-026-ADB,CID-026,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-026 - ADB Channel,SampleGen
ACCT-ADB-CID-027,ACC-CID-027-ADB,CID-027,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-027 - ADB Channel,SampleGen
ACCT-ADB-CID-029,ACC-CID-029-ADB,CID-029,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-029 - ADB Channel,SampleGen
ACCT-ADB-CID-032,ACC-CID-032-ADB,CID-032,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-032 - ADB Channel,SampleGen
ACCT-ADB-CID-033,ACC-CID-033-ADB,CID-033,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-033 - ADB Channel,SampleGen
ACCT-ADB-CID-034,ACC-CID-034-ADB,CID-034,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-034 - ADB Channel,SampleGen
ACCT-ADB-CID-035,ACC-CID-035-ADB,CID-035,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-035 - ADB Channel,SampleGen
ACCT-ADB-CID-036,ACC-CID-036-ADB,CID-036,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-036 - ADB Channel,SampleGen
ACCT-ADB-CID-037,ACC-CID-037-ADB,CID-037,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-037 - ADB Channel,SampleGen
ACCT-ADB-CID-038,ACC-CID-038-ADB,CID-038,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-038 - ADB Channel,SampleGen
ACCT-ADB-CID-039,ACC-CID-039-ADB,CID-039,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-039 - ADB Channel,SampleGen
ACCT-ADB-CID-040,ACC-CID-040-ADB,CID-040,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-040 - ADB Channel,SampleGen
ACCT-ADB-CID-041,ACC-CID-041-ADB,CID-041,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-041 - ADB Channel,SampleGen
