OrderId,SalesChannelId,OrderNumber,CustomerId,CustomerAccountId,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
2df03021-8d1e-4bb2-b384-2798c754bc56,ADB,D200000,CID-001,CA-0002,2025-01-11,Pending,3511.84,210.72,3722.56,Discover,USD,SampleGen
001d4491-9713-47a3-8120-03630ade7ef1,ADB,D200001,CID-001,CA-0002,2025-01-10,Completed,1519.8,91.2,1611.0,AmEx,USD,SampleGen
1b4f07c7-f3cf-4cc1-9497-821cb17c82da,ADB,D200002,CID-001,CA-0002,2025-02-19,Pending,507.88,30.48,538.36,MC,USD,SampleGen
29d08a26-fe56-493f-8e19-fcaacd0bc272,ADB,D200003,CID-001,CA-0002,2025-02-12,Completed,2247.78,134.88,2382.66,VISA,USD,SampleGen
55d042b1-b244-4fdb-816a-4c69d4e5db9a,ADB,D200004,CID-001,CA-0002,2025-02-03,Completed,3125.84,187.56,3313.4,MC,USD,SampleGen
72c0bf57-3a34-4904-8dc4-fd08c8fc31a7,ADB,D200005,CID-001,CA-0002,2025-03-01,Completed,6067.78,364.08,6431.86,VISA,USD,SampleGen
06f673af-770b-47f9-a2fc-1fdc2969afb1,ADB,D200006,CID-001,CA-0002,2025-03-20,Completed,3121.76,187.32,3309.08,VISA,USD,SampleGen
5459ed42-8ab1-49d0-bdad-40551cfe23c3,ADB,D200007,CID-001,CA-0002,2025-03-25,Completed,1795.86,107.76,1903.62,VISA,USD,SampleGen
8d664bbd-83dd-4be0-811a-23bc07d4d0c8,ADB,D200008,CID-001,CA-0002,2025-04-16,Completed,495.84,29.76,525.6,VISA,USD,SampleGen
5ffd7fd6-2579-4caf-bf21-0b791c0b45b3,ADB,D200009,CID-001,CA-0002,2025-04-19,Completed,2567.8,154.08,2721.88,VISA,USD,SampleGen
3b26eff3-fe07-4089-a829-220b0cbecb23,ADB,D200010,CID-001,CA-0002,2025-04-13,Cancelled,4327.72,259.68,4587.4,MC,USD,SampleGen
1fca5aa3-0794-4b6e-bed7-dbf85fb7156c,ADB,D200011,CID-001,CA-0002,2025-04-29,Completed,2347.74,140.88,2488.62,MC,USD,SampleGen
4b47f4dd-4bc9-4128-9ba3-e3f8cab7cb3c,ADB,D200012,CID-001,CA-0002,2025-05-09,Completed,2699.72,162.0,2861.72,Discover,USD,SampleGen
64f53044-8662-4eb4-986b-d12c0fc48706,ADB,D200013,CID-001,CA-0002,2025-05-20,Completed,5611.8,336.72,5948.52,PayPal,USD,SampleGen
86c23ee3-8d40-4df9-b804-684f7df25a8b,ADB,D200014,CID-001,CA-0002,2025-05-23,Completed,3523.7,211.44,3735.14,VISA,USD,SampleGen
578e75ed-6b53-463b-803e-5a0d7caf327e,ADB,D200015,CID-001,CA-0002,2025-05-13,Completed,951.86,57.12,1008.98,VISA,USD,SampleGen
aa0b5b61-fe80-4e74-8ebe-a2da293ee2d8,ADB,D200016,CID-001,CA-0002,2025-06-05,Completed,3549.74,213.0,3762.74,PayPal,USD,SampleGen
