PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-e3a894b3-4b98-4def-99f3-617f9cb26882,INV-e3a894b3-4b98-4def-99f3-617f9cb26882,CID-001,2025-11-05,2838.32,PayPal,Completed,SampleGen
PAY-30d75652-fd4a-4a62-90c5-1008a9d388da,INV-30d75652-fd4a-4a62-90c5-1008a9d388da,CID-001,2025-10-20,3925.8,Discover,Completed,SampleGen
PAY-5d22dd80-f5f5-4f79-9510-049d8fd637b6,INV-5d22dd80-f5f5-4f79-9510-049d8fd637b6,CID-001,2025-07-03,717.71,MC,Completed,SampleGen
PAY-cd77ae35-5210-4b0f-b472-79eb0e9d2b66,INV-cd77ae35-5210-4b0f-b472-79eb0e9d2b66,CID-001,2025-05-25,2827.48,Discover,Completed,SampleGen
PAY-8130ad91-02ef-47a9-b139-73d490620500,INV-8130ad91-02ef-47a9-b139-73d490620500,CID-001,2025-10-30,652.48,AmEx,Completed,SampleGen
PAY-7c9688ed-313f-4182-ac07-044c63e2dd93,INV-7c9688ed-313f-4182-ac07-044c63e2dd93,CID-001,2026-02-26,173.98,VISA,Completed,SampleGen
PAY-9e718035-2256-4c0c-855d-150b30b601e5,INV-9e718035-2256-4c0c-855d-150b30b601e5,CID-002,2025-05-06,3229.81,VISA,Completed,SampleGen
PAY-86d756e7-9215-4af8-8e00-7ca70807e7ef,INV-86d756e7-9215-4af8-8e00-7ca70807e7ef,CID-002,2026-02-07,1141.85,VISA,Completed,SampleGen
PAY-576ee2b9-fd65-4d1b-9f9b-fb53a7ec4eb8,INV-576ee2b9-fd65-4d1b-9f9b-fb53a7ec4eb8,CID-003,2025-02-09,1701.87,AmEx,Completed,SampleGen
PAY-d1ca1665-efc0-4e07-a9c1-e61c4d2d6ad0,INV-d1ca1665-efc0-4e07-a9c1-e61c4d2d6ad0,CID-003,2025-03-14,1685.59,VISA,Completed,SampleGen
PAY-1b1ed32d-353a-461d-8c6b-4712307ece93,INV-1b1ed32d-353a-461d-8c6b-4712307ece93,CID-004,2025-09-04,1446.31,MC,Completed,SampleGen
PAY-5c52d670-2494-4c73-8d05-d082506ae21d,INV-5c52d670-2494-4c73-8d05-d082506ae21d,CID-005,2025-08-05,619.82,MC,Completed,SampleGen
PAY-5d0ef611-b010-40ae-89ed-d88268cba533,INV-5d0ef611-b010-40ae-89ed-d88268cba533,CID-005,2025-09-04,2446.82,VISA,Completed,SampleGen
PAY-9ce20549-a250-48b8-a15f-4300cc1f3b85,INV-9ce20549-a250-48b8-a15f-4300cc1f3b85,CID-005,2025-08-05,2283.68,AmEx,Completed,SampleGen
PAY-9830a66b-73f1-410a-b0b9-16f6bb99f023,INV-9830a66b-73f1-410a-b0b9-16f6bb99f023,CID-005,2025-04-03,1826.97,VISA,Completed,SampleGen
PAY-18eb454d-617f-4930-bf16-828e5cab80b4,INV-18eb454d-617f-4930-bf16-828e5cab80b4,CID-006,2025-11-08,652.48,Discover,Completed,SampleGen
PAY-e2328bd9-2020-46ee-a141-517f7cf8a668,INV-e2328bd9-2020-46ee-a141-517f7cf8a668,CID-006,2026-01-01,543.73,PayPal,Completed,SampleGen
PAY-2f9dc0a2-9028-40ac-81c9-0dbc5fb532c7,INV-2f9dc0a2-9028-40ac-81c9-0dbc5fb532c7,CID-006,2025-11-29,434.99,PayPal,Completed,SampleGen
PAY-d7bf1c1d-534b-40fa-a89b-cca3b8b585f2,INV-d7bf1c1d-534b-40fa-a89b-cca3b8b585f2,CID-006,2025-06-18,337.09,VISA,Completed,SampleGen
PAY-d8502776-956e-494f-8ce8-f0eabd7b6589,INV-d8502776-956e-494f-8ce8-f0eabd7b6589,CID-006,2025-07-10,413.23,MC,Completed,SampleGen
PAY-547fa686-995e-4caf-b1d1-8a8360922f76,INV-547fa686-995e-4caf-b1d1-8a8360922f76,CID-006,2025-10-01,1772.58,MC,Completed,SampleGen
PAY-67b243ba-6512-4167-bbe2-2574b4733481,INV-67b243ba-6512-4167-bbe2-2574b4733481,CID-006,2025-11-02,772.09,PayPal,Completed,SampleGen
PAY-4e0011b2-33be-4978-a288-ce19092fd421,INV-4e0011b2-33be-4978-a288-ce19092fd421,CID-007,2025-06-21,1000.43,VISA,Completed,SampleGen
PAY-edc358b9-1ac6-4795-b80d-bf75c8589698,INV-edc358b9-1ac6-4795-b80d-bf75c8589698,CID-007,2025-02-14,652.47,VISA,Completed,SampleGen
PAY-c93571c2-19a6-41a2-a26b-c0bc5640a7c1,INV-c93571c2-19a6-41a2-a26b-c0bc5640a7c1,CID-008,2025-08-05,1663.84,MC,Completed,SampleGen
PAY-e7f0776b-cc67-4fd7-bde7-1b3ce98c283a,INV-e7f0776b-cc67-4fd7-bde7-1b3ce98c283a,CID-008,2025-09-23,3110.21,VISA,Completed,SampleGen
PAY-570ccd88-375d-4c5d-a4e5-e46c7db58f14,INV-570ccd88-375d-4c5d-a4e5-e46c7db58f14,CID-009,2025-12-15,598.11,PayPal,Completed,SampleGen
PAY-ab339160-c06d-42cc-bbba-d85f514d1369,INV-ab339160-c06d-42cc-bbba-d85f514d1369,CID-009,2025-11-20,3643.08,VISA,Completed,SampleGen
PAY-038707c4-5b36-4d33-b65b-06e01ce8f558,INV-038707c4-5b36-4d33-b65b-06e01ce8f558,CID-010,2025-09-29,2185.83,VISA,Completed,SampleGen
PAY-fa1ae4a7-42e5-4ae5-bef3-48d69f98d23e,INV-fa1ae4a7-42e5-4ae5-bef3-48d69f98d23e,CID-010,2025-08-23,173.98,VISA,Completed,SampleGen
PAY-508b306d-c5e2-4459-a520-303c96c7cf08,INV-508b306d-c5e2-4459-a520-303c96c7cf08,CID-010,2025-09-18,1957.48,AmEx,Completed,SampleGen
PAY-c513cb26-2e5c-4bd4-8646-c8d5d9f86ab5,INV-c513cb26-2e5c-4bd4-8646-c8d5d9f86ab5,CID-010,2026-02-06,1685.59,VISA,Completed,SampleGen
PAY-3be2840b-aff6-4f78-92cf-333ebaf4f39a,INV-3be2840b-aff6-4f78-92cf-333ebaf4f39a,CID-010,2026-01-22,1576.82,Discover,Completed,SampleGen
PAY-5e2f2bb2-5410-4d76-8838-50e2d246029e,INV-5e2f2bb2-5410-4d76-8838-50e2d246029e,CID-010,2026-02-27,163.11,MC,Completed,SampleGen
PAY-9d652f5f-c696-4f21-9b97-74f2b2514080,INV-9d652f5f-c696-4f21-9b97-74f2b2514080,CID-011,2025-04-26,130.49,PayPal,Completed,SampleGen
PAY-905afe85-dc4a-4cb5-ade8-45eb1802b4d2,INV-905afe85-dc4a-4cb5-ade8-45eb1802b4d2,CID-011,2025-04-12,859.09,VISA,Completed,SampleGen
PAY-503b059f-ecaf-4066-aef0-1c5d30f457f7,INV-503b059f-ecaf-4066-aef0-1c5d30f457f7,CID-011,2025-02-06,1402.84,PayPal,Completed,SampleGen
PAY-242525c1-0637-4095-ae97-400ae8b80464,INV-242525c1-0637-4095-ae97-400ae8b80464,CID-011,2025-04-08,717.71,PayPal,Completed,SampleGen
PAY-fd89d432-ba15-4ccb-bf11-69e3fa57c80a,INV-fd89d432-ba15-4ccb-bf11-69e3fa57c80a,CID-012,2025-06-26,2327.2,VISA,Completed,SampleGen
PAY-3ecbeeba-aec5-4f1c-b4cc-8bd6e7edfe91,INV-3ecbeeba-aec5-4f1c-b4cc-8bd6e7edfe91,CID-013,2025-04-13,891.72,VISA,Completed,SampleGen
PAY-17ddc565-17d3-4916-8424-33679dd0cbe5,INV-17ddc565-17d3-4916-8424-33679dd0cbe5,CID-013,2025-05-14,2283.69,Discover,Completed,SampleGen
PAY-dc550f6e-562e-479f-bc12-850b65ffcbfa,INV-dc550f6e-562e-479f-bc12-850b65ffcbfa,CID-013,2025-01-13,380.61,Discover,Completed,SampleGen
PAY-a8d3f1a0-73f4-4f5e-af23-6b11d9b848d5,INV-a8d3f1a0-73f4-4f5e-af23-6b11d9b848d5,CID-014,2025-11-18,652.48,AmEx,Completed,SampleGen
PAY-57cd0f14-26e5-49e8-b1cf-4bc49776a236,INV-57cd0f14-26e5-49e8-b1cf-4bc49776a236,CID-014,2025-10-10,913.44,Discover,Completed,SampleGen
PAY-25b4c5bd-8a7e-4fe5-8820-b6d4aee32fe8,INV-25b4c5bd-8a7e-4fe5-8820-b6d4aee32fe8,CID-015,2025-10-23,1413.71,PayPal,Completed,SampleGen
PAY-f953284f-740d-472f-8ede-ffb32496f5b1,INV-f953284f-740d-472f-8ede-ffb32496f5b1,CID-015,2025-10-06,1631.2,Discover,Completed,SampleGen
PAY-72ac66d1-c0be-4129-8354-7060910b4b6b,INV-72ac66d1-c0be-4129-8354-7060910b4b6b,CID-016,2025-02-08,5502.7,VISA,Completed,SampleGen
