OrderId,SalesChannelId,OrderNumber,CustomerId,CustomerAccountId,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
b8ea81fc-4ea2-4cfc-88ef-1b0fb3a5c923,ADB,D200000,CID-001,CA-0002,2025-01-02,Completed,483.88,29.04,512.92,PayPal,USD,SampleGen
b9ee1737-a4a9-4938-9e15-7f82ce5e3b28,ADB,D200001,CID-001,CA-0002,2025-02-11,Completed,4167.88,250.08,4417.96,VISA,USD,SampleGen
30d91864-4177-4287-b420-8582bc49101e,ADB,D200002,CID-001,CA-0002,2025-03-07,Completed,399.9,24.0,423.9,VISA,USD,SampleGen
8cc284a0-ac7c-489a-894c-2dfedb9a0cfe,ADB,D200003,CID-001,CA-0002,2025-03-13,Completed,3947.86,236.88,4184.74,VISA,USD,SampleGen
5be1b038-3498-4042-b9d4-a1d30411be07,ADB,D200004,CID-001,CA-0002,2025-04-17,Completed,381.86,22.92,404.78,AmEx,USD,SampleGen
76c2d5d7-37fa-4069-be0f-56114820dbdc,ADB,D200005,CID-001,CA-0002,2025-05-15,Completed,4787.8,287.28,5075.08,VISA,USD,SampleGen
2cf219d1-5de3-4cf5-8197-3bcc8a04f0f5,ADB,D200006,CID-001,CA-0002,2025-05-07,Completed,1783.8,107.04,1890.84,VISA,USD,SampleGen
92d2a96a-31b3-43ca-9b48-a6df6de0ee61,ADB,D200007,CID-001,CA-0002,2025-06-10,Completed,653.86,39.24,693.1,VISA,USD,SampleGen
b431bd8b-48e3-48a4-be70-f3fdc3992035,ADB,D200008,CID-001,CA-0002,2025-07-28,Completed,1669.84,100.2,1770.04,MC,USD,SampleGen
b3c4d016-ed37-48b8-93ef-8094e746c5a2,ADB,D200009,CID-001,CA-0002,2025-08-08,Completed,269.88,16.2,286.08,MC,USD,SampleGen
2b9db3eb-728d-49dc-a9d0-79e858899d54,ADB,D200010,CID-001,CA-0002,2025-09-20,Completed,1639.82,98.4,1738.22,MC,USD,SampleGen
d3c32d9e-44cd-4b14-b4f2-60d734cf41c2,ADB,D200011,CID-001,CA-0002,2025-10-25,Completed,1527.76,91.68,1619.44,VISA,USD,SampleGen
d50e47bc-a365-4ea5-befc-53716805fb1d,ADB,D200012,CID-001,CA-0002,2025-10-19,Completed,1331.7,79.92,1411.62,VISA,USD,SampleGen
4cf93d42-9b09-48b7-9182-ed134c375806,ADB,D200013,CID-001,CA-0002,2025-11-19,Completed,3639.78,218.4,3858.18,AmEx,USD,SampleGen
2a181e5a-3ed6-45fa-b563-0aa0b4f7971a,ADB,D200014,CID-001,CA-0002,2025-11-18,Completed,1775.74,106.56,1882.3,MC,USD,SampleGen
c09db5a8-5a4e-4296-b966-cda172b639d4,ADB,D200015,CID-001,CA-0002,2025-12-31,Completed,413.86,24.84,438.7,VISA,USD,SampleGen
144166e0-7d31-4c56-9031-ccc8e0530c5e,ADB,D200016,CID-001,CA-0002,2025-12-27,Completed,3523.88,211.44,3735.32,Discover,USD,SampleGen
03a62ef2-8d74-4d82-9fea-dbff40533f9d,ADB,D200017,CID-001,CA-0002,2025-12-02,Completed,1239.9,74.4,1314.3,MC,USD,SampleGen
70db464f-9f79-4ebe-8228-87e42eff4020,ADB,D200018,CID-001,CA-0002,2025-12-11,Completed,3315.9,198.96,3514.86,VISA,USD,SampleGen
e4916a4a-b57b-4527-b895-1262e1046a6c,ADB,D200019,CID-001,CA-0002,2025-12-12,Completed,1663.84,99.84,1763.68,MC,USD,SampleGen
6f3b8f59-1576-4898-ab2a-be93377821ee,ADB,D200020,CID-001,CA-0002,2026-01-16,Completed,259.96,15.6,275.56,VISA,USD,SampleGen
adb3d17e-0ef6-4792-bed5-5c356f017754,ADB,D200021,CID-001,CA-0002,2026-01-28,Shipped,371.9,22.32,394.22,VISA,USD,SampleGen
0ca8d46f-98fe-4b94-9652-73aeb651d617,ADB,D200022,CID-001,CA-0002,2026-02-01,Completed,6067.78,364.08,6431.86,VISA,USD,SampleGen
17ce4e6c-5c84-4e40-bf69-74b772f541c6,ADB,D200023,CID-001,CA-0002,2026-02-03,Completed,1585.8,95.16,1680.96,MC,USD,SampleGen
6af3ec09-086e-49e6-8289-173c35cd5d61,ADB,D200024,CID-001,CA-0002,2026-02-04,Completed,1003.82,60.24,1064.06,MC,USD,SampleGen
1b71ea36-c67c-41bb-a91e-4b6a34914a45,ADB,D200025,CID-001,CA-0002,2026-02-28,Completed,6569.74,394.2,6963.94,PayPal,USD,SampleGen
75f9a1c1-e530-4056-8759-f329220eab91,ADB,D200026,CID-001,CA-0002,2026-03-01,Completed,717.86,43.08,760.94,VISA,USD,SampleGen
c471feda-da55-4882-8835-6f30d77a4ea8,ADB,D200027,CID-001,CA-0002,2026-03-01,Cancelled,1235.76,74.16,1309.92,MC,USD,SampleGen
