InvoiceId,InvoiceNumber,CustomerId,CustomerAccountId,InvoiceDate,DueDate,InvoiceAmount,IsoCurrencyCode,CreatedBy
INV-af236b26-f62d-44e9-bcc9-087218792107,ID200000,CID-001,CA-0002,2020-02-15,2020-03-16,699.42,USD,SampleGen
INV-78f19e7a-2d6e-4f4e-888e-fc2a0a757cc5,ID200001,CID-001,CA-0002,2020-04-05,2020-05-05,485.32,USD,SampleGen
INV-1ec6d5fa-03c7-4f02-a82e-238cb5874d4d,ID200002,CID-001,CA-0002,2020-06-26,2020-07-26,445.08,USD,SampleGen
INV-a5c4c102-bf49-411f-86aa-c3ec6c10aebe,ID200003,CID-001,CA-0002,2020-07-30,2020-08-29,911.48,USD,SampleGen
INV-293a55b0-1dbd-494f-82a6-a0034efc3fad,ID200004,CID-001,CA-0002,2020-09-10,2020-10-10,2938.08,USD,SampleGen
INV-d8d1183a-4598-4c5d-ab88-6aa1f92cc43f,ID200005,CID-001,CA-0002,2020-11-28,2020-12-28,2403.88,USD,SampleGen
INV-d846959d-8e22-4f05-863f-eb0786e1d98e,ID200006,CID-001,CA-0002,2020-12-31,2021-01-30,476.86,USD,SampleGen
INV-4cfe6fee-6e51-40e6-aa67-9ba20240be2b,ID200007,CID-001,CA-0002,2021-04-24,2021-05-24,445.08,USD,SampleGen
INV-b317c6e5-5e0e-440b-ab7c-bb419cefcf49,ID200008,CID-001,CA-0002,2021-05-29,2021-06-28,2815.14,USD,SampleGen
INV-1d5392be-1b40-4923-806b-b2531e83e6e6,ID200009,CID-001,CA-0002,2021-07-26,2021-08-25,370.86,USD,SampleGen
INV-3678b7af-46ac-406a-acee-101222d52669,ID200010,CID-001,CA-0002,2021-08-17,2021-09-16,1649.08,USD,SampleGen
INV-8bd2bcd8-cc07-43a6-8d4e-952049640652,ID200011,CID-001,CA-0002,2021-09-18,2021-10-18,1403.34,USD,SampleGen
INV-f4fbd3ad-9236-4491-b847-479e481cbc44,ID200012,CID-001,CA-0002,2021-12-12,2022-01-11,3896.42,USD,SampleGen
INV-517bb80e-11c0-4a1a-a9fe-f02e55041c2d,ID200013,CID-001,CA-0002,2022-11-01,2022-12-01,2505.6,USD,SampleGen
INV-142ebb2e-f62e-42f9-8442-11803fcfc4d6,ID200014,CID-001,CA-0002,2023-03-27,2023-04-26,707.92,USD,SampleGen
INV-10156ebc-664b-4edb-8475-670c08ce8e58,ID200015,CID-001,CA-0002,2023-05-06,2023-06-05,4383.96,USD,SampleGen
INV-1b3e038d-bc51-4373-ac30-6c13d2356fad,ID200016,CID-001,CA-0002,2023-08-28,2023-09-27,1594.0,USD,SampleGen
INV-ded6afaf-1b3b-46bb-bef8-96f104330df4,ID200017,CID-001,CA-0002,2023-10-12,2023-11-11,676.1,USD,SampleGen
INV-ba94b5b1-ad4c-4852-98cb-dbeee0d1345e,ID200018,CID-001,CA-0002,2023-12-03,2024-01-02,3607.96,USD,SampleGen
INV-2b0e936f-4811-4a67-b7dc-c64c903925c1,ID200019,CID-001,CA-0002,2024-02-28,2024-03-29,2001.12,USD,SampleGen
INV-04dac92d-f71b-4a40-8495-d942648a14e6,ID200020,CID-001,CA-0002,2024-04-22,2024-05-22,1331.26,USD,SampleGen
INV-4265b1ce-ab24-476e-8f23-ae5d91cb6402,ID200021,CID-001,CA-0002,2024-06-03,2024-07-03,1418.16,USD,SampleGen
INV-9f56cc1f-da66-4428-82ca-f68c35be3037,ID200022,CID-001,CA-0002,2024-07-14,2024-08-13,962.28,USD,SampleGen
INV-a0e686aa-1a29-4c03-9746-52caa1fc6c19,ID200023,CID-001,CA-0002,2024-08-07,2024-09-06,782.16,USD,SampleGen
INV-30b91605-c37c-4bc0-bc4e-169bf56f84b5,ID200024,CID-001,CA-0002,2024-09-22,2024-10-22,1806.12,USD,SampleGen
INV-d44b13f5-f861-40fb-91c6-afe3d2167f12,ID200025,CID-001,CA-0002,2024-11-12,2024-12-12,2747.2,USD,SampleGen
INV-c9e4235c-379e-499a-841e-a88be1cd998f,ID200026,CID-001,CA-0002,2024-12-10,2025-01-09,3900.52,USD,SampleGen
INV-92ba1df8-98c9-4f4a-a230-0fba543cfa8d,ID200027,CID-001,CA-0002,2024-12-13,2025-01-12,6368.2,USD,SampleGen
INV-ca73bc86-49b6-47fa-85fd-b68c6c6ae1ee,ID200028,CID-001,CA-0002,2025-01-16,2025-02-15,548.94,USD,SampleGen
INV-ba6a2c22-2575-4591-8d57-ca52fffa98c2,ID200029,CID-001,CA-0002,2025-02-02,2025-03-04,975.08,USD,SampleGen
INV-5cd144c3-12b7-4ecc-9671-e9cd8ad120fe,ID200030,CID-001,CA-0002,2025-03-16,2025-04-15,811.74,USD,SampleGen
INV-b41561d4-a714-43c3-9f02-ded99436aa43,ID200031,CID-001,CA-0002,2025-04-26,2025-05-26,760.92,USD,SampleGen
INV-9c5fccea-0fc3-476d-8580-4f487ef86416,ID200032,CID-001,CA-0002,2025-05-14,2025-06-13,2849.0,USD,SampleGen
INV-9b6b9c4b-1b16-4b24-8e56-b6c21a13074a,ID200033,CID-001,CA-0002,2025-05-22,2025-06-21,3480.86,USD,SampleGen
INV-98372a00-9c3e-4122-b4c7-c112b3f236df,ID200034,CID-001,CA-0002,2025-06-16,2025-07-16,1290.96,USD,SampleGen
INV-ba2cf4a5-9695-4dcf-9ee6-1f5ac8214d08,ID200035,CID-001,CA-0002,2025-07-04,2025-08-03,4411.5,USD,SampleGen
INV-51ab45bb-87ab-4fb8-8ba6-c60434c2e4ed,ID200036,CID-001,CA-0002,2025-08-27,2025-09-26,1965.14,USD,SampleGen
INV-6bd72ea8-e91b-407a-8263-cd708462912b,ID200037,CID-001,CA-0002,2025-09-09,2025-10-09,585.0,USD,SampleGen
INV-a7402304-3498-46a4-8cd6-adf48e7cf202,ID200038,CID-001,CA-0002,2025-10-22,2025-11-21,1742.44,USD,SampleGen
INV-007b3806-f345-4372-aaa9-56b06eff3133,ID200039,CID-001,CA-0002,2025-11-28,2025-12-28,462.02,USD,SampleGen
INV-06412b48-498b-4dfa-8c0c-6ea7912bf3be,ID200040,CID-001,CA-0002,2025-12-12,2026-01-11,771.56,USD,SampleGen
INV-f45ea6ba-3af9-4c98-8f99-86450ad03c75,ID200041,CID-001,CA-0002,2025-12-13,2026-01-12,1831.5,USD,SampleGen
INV-7e72c3a8-cb68-40b4-a488-671c6579f88d,ID200042,CID-001,CA-0002,2026-02-26,2026-03-28,2866.02,USD,SampleGen
INV-70dcc49e-cdd5-4be2-9ec6-b77945067f36,ID200043,CID-001,CA-0002,2026-02-26,2026-03-28,3822.22,USD,SampleGen
INV-9e11a140-44b3-43ec-b24d-29ac6f074df8,ID200044,CID-002,CA-0004,2021-06-10,2021-07-10,805.36,USD,SampleGen
INV-b19c8ab6-90b5-43ef-8be9-c99bdc5128c4,ID200045,CID-002,CA-0004,2021-12-14,2022-01-13,1331.26,USD,SampleGen
INV-4351e09c-acb1-482d-a7b0-15c95ef3b483,ID200046,CID-002,CA-0004,2022-08-25,2022-09-24,1564.4,USD,SampleGen
INV-abb49359-56bf-4e8f-94ec-708d77bfe210,ID200047,CID-002,CA-0004,2024-09-27,2024-10-27,837.22,USD,SampleGen
INV-77367fc4-3156-4ed5-bc47-ad1450ec9cdd,ID200048,CID-002,CA-0004,2025-06-12,2025-07-12,697.32,USD,SampleGen
INV-b3def36a-1cd0-494e-87c1-354e91312a1a,ID200049,CID-002,CA-0004,2025-10-06,2025-11-05,786.38,USD,SampleGen
INV-523259ff-5468-4efb-af17-938d0803b737,ID200050,CID-003,CA-0006,2020-03-10,2020-04-09,1015.24,USD,SampleGen
INV-0170980b-9d9e-4ddf-ae8a-6cfbf1f44c71,ID200051,CID-003,CA-0006,2020-05-17,2020-06-16,746.04,USD,SampleGen
INV-9d22c618-fe8d-4a0d-95a5-314943973930,ID200052,CID-003,CA-0006,2020-08-15,2020-09-14,3497.78,USD,SampleGen
INV-1f70c04e-7205-4a70-9c61-971384b85897,ID200053,CID-003,CA-0006,2020-09-06,2020-10-06,3807.4,USD,SampleGen
INV-8db2c3dc-1952-4653-ad32-eafd4ddd5080,ID200054,CID-003,CA-0006,2020-11-18,2020-12-18,1640.76,USD,SampleGen
INV-3faa9bc1-b6ca-420c-88e1-49aa8d7b0ceb,ID200055,CID-003,CA-0006,2020-12-18,2021-01-17,5128.04,USD,SampleGen
INV-b72a28f3-49c1-4b03-87b0-bf214345ab8d,ID200056,CID-003,CA-0006,2021-03-18,2021-04-17,3917.64,USD,SampleGen
INV-0e69a591-a69c-40b4-bc21-c2be9fb82ef1,ID200057,CID-003,CA-0006,2021-08-31,2021-09-30,1237.92,USD,SampleGen
INV-3790bbc1-d23c-4300-bd26-798e20d8a40b,ID200058,CID-003,CA-0006,2021-11-27,2021-12-27,2459.08,USD,SampleGen
INV-0ab9ee48-145d-4723-9f81-e28281a9cce8,ID200059,CID-003,CA-0006,2021-12-08,2022-01-07,2001.12,USD,SampleGen
INV-3d7a5d16-8b1a-4056-9477-adfd0d739a06,ID200060,CID-003,CA-0006,2022-02-06,2022-03-08,1462.56,USD,SampleGen
INV-11be5e29-cae6-4348-9ac7-b7e8c76554ba,ID200061,CID-003,CA-0006,2022-04-17,2022-05-17,3480.8,USD,SampleGen
INV-054b1489-0386-46ac-9a21-e6e1f98d1f35,ID200062,CID-003,CA-0006,2022-09-18,2022-10-18,862.66,USD,SampleGen
INV-240d0bed-e608-4abb-af18-1c297b808bd0,ID200063,CID-003,CA-0006,2022-10-30,2022-11-29,2866.02,USD,SampleGen
INV-8cacd7fe-dbf2-4ac1-b0e1-08fd9b3af7aa,ID200064,CID-003,CA-0006,2022-11-02,2022-12-02,3966.34,USD,SampleGen
INV-aef73d5c-5b88-44ee-b348-db27706d3239,ID200065,CID-003,CA-0006,2023-02-20,2023-03-22,2870.2,USD,SampleGen
INV-22c71f7b-3535-4a82-b425-28b7da7c2d78,ID200066,CID-003,CA-0006,2023-04-26,2023-05-26,1901.4,USD,SampleGen
INV-ca718026-7fa5-4f85-bc7f-dcfc3c6dedf5,ID200067,CID-003,CA-0006,2024-02-11,2024-03-12,4443.24,USD,SampleGen
INV-0b6906ef-08bc-4043-b7aa-030c609eb419,ID200068,CID-003,CA-0006,2024-03-26,2024-04-25,7029.72,USD,SampleGen
INV-a873b89f-c5b0-4cfd-9d8c-f1af475578da,ID200069,CID-003,CA-0006,2024-06-03,2024-07-03,2018.12,USD,SampleGen
INV-ec3b70ed-1454-49f4-8cb4-db1922ee65f8,ID200070,CID-003,CA-0006,2024-08-29,2024-09-28,476.88,USD,SampleGen
INV-9457c0da-eb41-4e06-a5f5-f112dca4707a,ID200071,CID-003,CA-0006,2024-09-10,2024-10-10,2200.34,USD,SampleGen
INV-64d6b65b-fa7c-41b7-a61f-295a2886a104,ID200072,CID-003,CA-0006,2024-10-14,2024-11-13,2102.92,USD,SampleGen
INV-9f234f6a-82a0-4154-8a6e-bf51cb24c2d0,ID200073,CID-003,CA-0006,2024-11-07,2024-12-07,2713.32,USD,SampleGen
INV-d93a235a-8c27-4916-8b41-d15ccd61e7c8,ID200074,CID-003,CA-0006,2024-12-13,2025-01-12,1085.32,USD,SampleGen
INV-8c33b414-cec7-49e6-9c45-687e05ab6221,ID200075,CID-003,CA-0006,2025-01-24,2025-02-23,2158.04,USD,SampleGen
INV-c47f4d54-905f-4d3d-af08-aa9c7c1c84ad,ID200076,CID-003,CA-0006,2025-04-16,2025-05-16,568.02,USD,SampleGen
INV-d1303a31-2a1d-4d65-bbb9-b7a714c24916,ID200077,CID-003,CA-0006,2025-08-21,2025-09-20,1327.0,USD,SampleGen
INV-3924a482-7785-4a1b-bb1f-fe69207bef75,ID200078,CID-003,CA-0006,2025-09-02,2025-10-02,991.92,USD,SampleGen
INV-263d1d24-d9d0-4efd-9f14-cf0689dee12a,ID200079,CID-003,CA-0006,2025-10-04,2025-11-03,2308.4,USD,SampleGen
INV-52305022-0d30-4b07-ade1-f2c594a4588e,ID200080,CID-003,CA-0006,2025-11-29,2025-12-29,674.0,USD,SampleGen
INV-baf728cb-8d94-4033-a71d-642409364b65,ID200081,CID-003,CA-0006,2025-12-25,2026-01-24,474.76,USD,SampleGen
INV-223049fd-9602-4b2e-8962-2b77640e741d,ID200082,CID-004,CA-0008,2020-07-29,2020-08-28,627.38,USD,SampleGen
INV-6fe00cf9-6311-4ecc-b081-0a6477b5793d,ID200083,CID-004,CA-0008,2020-08-22,2020-09-21,4714.58,USD,SampleGen
INV-b3806192-4b0e-456e-af24-ac44be4b7957,ID200084,CID-004,CA-0008,2020-12-19,2021-01-18,2643.46,USD,SampleGen
INV-1f63d3a2-0891-4440-adfe-5d9685f0ddfd,ID200085,CID-004,CA-0008,2021-01-14,2021-02-13,3285.86,USD,SampleGen
INV-50ad4534-ab13-401f-a8d7-270f36824210,ID200086,CID-004,CA-0008,2021-08-10,2021-09-09,4930.9,USD,SampleGen
INV-6d2e8314-2f50-4611-84ce-9580f79d234b,ID200087,CID-004,CA-0008,2021-10-10,2021-11-09,2531.02,USD,SampleGen
INV-0c9a32db-3ae8-4ba5-9c14-053af819bd1e,ID200088,CID-004,CA-0008,2022-03-08,2022-04-07,2590.46,USD,SampleGen
INV-2220a117-0bf2-47be-9756-53c3c9e4703f,ID200089,CID-004,CA-0008,2023-03-11,2023-04-10,264.9,USD,SampleGen
INV-cf9b244c-e0ba-4a6e-af80-af445331bcfd,ID200090,CID-004,CA-0008,2024-03-05,2024-04-04,941.12,USD,SampleGen
INV-5d5c0d29-4cbc-42d2-b220-accd969c4079,ID200091,CID-004,CA-0008,2025-07-20,2025-08-19,493.82,USD,SampleGen
INV-c4666c66-8ad8-45a3-a67e-5469470505f1,ID200092,CID-004,CA-0008,2025-10-27,2025-11-26,1562.28,USD,SampleGen
INV-1ecef108-6ee5-488c-80cc-739cb19556c6,ID200093,CID-004,CA-0008,2025-12-02,2026-01-01,307.3,USD,SampleGen
INV-a14129ad-6317-413d-b01a-4ee4ceeb1f5e,ID200094,CID-004,CA-0008,2026-01-08,2026-02-07,2861.74,USD,SampleGen
