InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-c263c36d-376f-41b1-973c-fec01bab09d6,IS300000,CID-001,c263c36d-376f-41b1-973c-fec01bab09d6,2021-06-05,2021-07-05,2409.94,210.87,2620.81,Paid,SampleGen
INV-8f8ddd25-d938-49a8-9de8-39ce3ed0d844,IS300001,CID-001,8f8ddd25-d938-49a8-9de8-39ce3ed0d844,2025-11-24,2025-12-24,2059.92,180.25,2240.17,Paid,SampleGen
INV-8fac3e75-14f5-4bc8-87c2-20cf88b5cfcf,IS300002,CID-001,8fac3e75-14f5-4bc8-87c2-20cf88b5cfcf,2023-09-27,2023-10-27,2839.96,248.5,3088.46,Paid,SampleGen
INV-fca5fdab-7206-4a55-9ea9-fa7f241e7877,IS300003,CID-002,fca5fdab-7206-4a55-9ea9-fa7f241e7877,2021-05-16,2021-06-15,479.97,42.0,521.97,Paid,SampleGen
INV-f297371e-cc95-46d6-a494-6952491d0939,IS300004,CID-002,f297371e-cc95-46d6-a494-6952491d0939,2020-10-31,2020-11-30,119.99,10.5,130.49,Paid,SampleGen
INV-cf71aa3f-aedd-4481-b787-4b2f1fbf3f46,IS300005,CID-003,cf71aa3f-aedd-4481-b787-4b2f1fbf3f46,2023-12-08,2024-01-07,1599.98,140.0,1739.98,Paid,SampleGen
INV-02b0eebf-c78d-4556-be1b-32747c1dc51a,IS300006,CID-003,02b0eebf-c78d-4556-be1b-32747c1dc51a,2022-05-12,2022-06-11,2549.95,223.12,2773.07,Paid,SampleGen
INV-d8e9be83-c011-4ddb-b354-dc0cd01ad995,IS300007,CID-003,d8e9be83-c011-4ddb-b354-dc0cd01ad995,2023-12-15,2024-01-14,2999.95,262.49,3262.44,Paid,SampleGen
INV-99a0e77e-4934-4aed-a6b8-3ef41c88dc8b,IS300008,CID-003,99a0e77e-4934-4aed-a6b8-3ef41c88dc8b,2023-03-04,2023-04-03,1089.98,95.37,1185.35,Paid,SampleGen
INV-72b5f3da-a420-442a-ae58-28feacdfdba3,IS300009,CID-003,72b5f3da-a420-442a-ae58-28feacdfdba3,2022-10-15,2022-11-14,939.97,82.25,1022.22,Paid,SampleGen
INV-69e9d15e-be1a-4519-8c06-0b26dc3742dc,IS300010,CID-004,69e9d15e-be1a-4519-8c06-0b26dc3742dc,2020-03-11,2020-04-10,1799.98,157.5,1957.48,Paid,SampleGen
INV-346923cd-75a1-4669-a18d-0f5bb50df5a5,IS300011,CID-005,346923cd-75a1-4669-a18d-0f5bb50df5a5,2025-05-02,2025-06-01,2179.94,190.75,2370.69,Paid,SampleGen
INV-be5bbb1c-6269-4be4-a4d3-8e6c7a54bff3,IS300012,CID-005,be5bbb1c-6269-4be4-a4d3-8e6c7a54bff3,2021-01-21,2021-02-20,1159.98,101.5,1261.48,Paid,SampleGen
