PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-c263c36d-376f-41b1-973c-fec01bab09d6,INV-c263c36d-376f-41b1-973c-fec01bab09d6,CID-001,2021-06-05,2620.81,VISA,Completed,SampleGen
PAY-8f8ddd25-d938-49a8-9de8-39ce3ed0d844,INV-8f8ddd25-d938-49a8-9de8-39ce3ed0d844,CID-001,2025-11-24,2240.17,VISA,Completed,SampleGen
PAY-8fac3e75-14f5-4bc8-87c2-20cf88b5cfcf,INV-8fac3e75-14f5-4bc8-87c2-20cf88b5cfcf,CID-001,2023-09-27,3088.46,VISA,Completed,SampleGen
PAY-fca5fdab-7206-4a55-9ea9-fa7f241e7877,INV-fca5fdab-7206-4a55-9ea9-fa7f241e7877,CID-002,2021-05-16,521.97,Discover,Completed,SampleGen
PAY-f297371e-cc95-46d6-a494-6952491d0939,INV-f297371e-cc95-46d6-a494-6952491d0939,CID-002,2020-10-31,130.49,VISA,Completed,SampleGen
PAY-cf71aa3f-aedd-4481-b787-4b2f1fbf3f46,INV-cf71aa3f-aedd-4481-b787-4b2f1fbf3f46,CID-003,2023-12-08,1739.98,AmEx,Completed,SampleGen
PAY-02b0eebf-c78d-4556-be1b-32747c1dc51a,INV-02b0eebf-c78d-4556-be1b-32747c1dc51a,CID-003,2022-05-12,2773.07,VISA,Completed,SampleGen
PAY-d8e9be83-c011-4ddb-b354-dc0cd01ad995,INV-d8e9be83-c011-4ddb-b354-dc0cd01ad995,CID-003,2023-12-15,3262.44,PayPal,Completed,SampleGen
PAY-99a0e77e-4934-4aed-a6b8-3ef41c88dc8b,INV-99a0e77e-4934-4aed-a6b8-3ef41c88dc8b,CID-003,2023-03-04,1185.35,PayPal,Completed,SampleGen
PAY-72b5f3da-a420-442a-ae58-28feacdfdba3,INV-72b5f3da-a420-442a-ae58-28feacdfdba3,CID-003,2022-10-15,1022.22,MC,Completed,SampleGen
