InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-528845c3-6331-4ad8-8064-4f8c8d360df9,IS300000,CID-001,528845c3-6331-4ad8-8064-4f8c8d360df9,2025-05-29,2025-06-28,239.98,21.0,260.98,Paid,SampleGen
INV-c18f58e8-892b-4f91-bfc3-08f65a55b913,IS300001,CID-001,c18f58e8-892b-4f91-bfc3-08f65a55b913,2025-08-13,2025-09-12,1099.94,96.25,1196.19,Paid,SampleGen
INV-7cee3480-bb5d-4334-af4f-1741b332faf3,IS300002,CID-001,7cee3480-bb5d-4334-af4f-1741b332faf3,2025-07-21,2025-08-20,914.98,80.06,995.04,Paid,SampleGen
INV-0585a42c-583a-4d29-bdeb-3fe05ff66945,IS300003,CID-001,0585a42c-583a-4d29-bdeb-3fe05ff66945,2025-05-25,2025-06-24,189.99,16.62,206.61,Paid,SampleGen
INV-d7a5ab42-ab26-4ddc-8105-e78bc3d1c956,IS300004,CID-002,d7a5ab42-ab26-4ddc-8105-e78bc3d1c956,2025-05-23,2025-06-22,3169.95,277.37,3447.32,Paid,SampleGen
INV-1193b74a-f272-4752-93b3-fe6168b71ff0,IS300005,CID-003,1193b74a-f272-4752-93b3-fe6168b71ff0,2025-10-18,2025-11-17,569.97,49.87,619.84,Paid,SampleGen
INV-826b2488-3b0f-466b-814d-a5ee03e5e64b,IS300006,CID-003,826b2488-3b0f-466b-814d-a5ee03e5e64b,2025-11-12,2025-12-12,2559.94,223.99,2783.93,Paid,SampleGen
INV-43c8eebe-5c4f-4068-ab28-cbe5e3fb241d,IS300007,CID-003,43c8eebe-5c4f-4068-ab28-cbe5e3fb241d,2026-02-25,2026-03-27,299.99,26.25,326.24,Paid,SampleGen
INV-5665f738-4469-46c2-81dd-84a96aa4010a,IS300008,CID-003,5665f738-4469-46c2-81dd-84a96aa4010a,2026-01-14,2026-02-13,1499.96,131.25,1631.21,Paid,SampleGen
INV-0a7e39e9-e2e7-48dc-b5b8-2f1c695783a8,IS300009,CID-003,0a7e39e9-e2e7-48dc-b5b8-2f1c695783a8,2026-02-16,2026-03-18,399.99,35.0,434.99,Paid,SampleGen
INV-6095b134-a0e6-4273-ae71-03acb3be7e8d,IS300010,CID-004,6095b134-a0e6-4273-ae71-03acb3be7e8d,2025-05-27,2025-06-26,1409.95,123.37,1533.32,Paid,SampleGen
INV-e5b92be3-2649-458e-80c0-2c4bfe5c578c,IS300011,CID-004,e5b92be3-2649-458e-80c0-2c4bfe5c578c,2025-06-03,2025-07-03,1089.96,95.37,1185.33,Paid,SampleGen
INV-ff9a6dec-8703-4a5e-8fa4-5fee34be2462,IS300012,CID-005,ff9a6dec-8703-4a5e-8fa4-5fee34be2462,2025-10-17,2025-11-16,1299.96,113.74,1413.7,Paid,SampleGen
INV-7080a9ac-7029-481d-ad1a-93f5b4d8c225,IS300013,CID-005,7080a9ac-7029-481d-ad1a-93f5b4d8c225,2026-02-28,2026-03-30,2559.96,224.0,2783.96,Paid,SampleGen
INV-16a66f4a-90fb-4523-803d-ff623ec8abb5,IS300014,CID-005,16a66f4a-90fb-4523-803d-ff623ec8abb5,2025-11-06,2025-12-06,699.97,61.25,761.22,Paid,SampleGen
INV-061f24de-084e-4897-a897-6b36655a2f72,IS300015,CID-005,061f24de-084e-4897-a897-6b36655a2f72,2025-03-02,2025-04-01,769.96,67.37,837.33,Paid,SampleGen
INV-f3f08a1f-d1bc-408d-9711-a9a28be6d6b2,IS300016,CID-006,f3f08a1f-d1bc-408d-9711-a9a28be6d6b2,2025-08-19,2025-09-18,1419.97,124.25,1544.22,Paid,SampleGen
INV-9b6e16d0-03d0-4670-aea0-54dc86344fa3,IS300017,CID-006,9b6e16d0-03d0-4670-aea0-54dc86344fa3,2025-09-14,2025-10-14,1059.96,92.75,1152.71,Paid,SampleGen
INV-bbd4bceb-13c8-4cd2-b771-f25b2445d98e,IS300018,CID-006,bbd4bceb-13c8-4cd2-b771-f25b2445d98e,2026-02-01,2026-03-03,1199.96,105.0,1304.96,Paid,SampleGen
INV-2c73510d-24bd-4e39-a4e3-790ecaccbe8e,IS300019,CID-006,2c73510d-24bd-4e39-a4e3-790ecaccbe8e,2025-02-08,2025-03-10,2799.94,244.99,3044.93,Paid,SampleGen
INV-2da8b96b-b00f-4fe0-9028-29b1d0bd846c,IS300020,CID-006,2da8b96b-b00f-4fe0-9028-29b1d0bd846c,2025-11-19,2025-12-19,449.99,39.37,489.36,Paid,SampleGen
INV-222b14cb-61e5-4f27-b522-b9a04876850c,IS300021,CID-006,222b14cb-61e5-4f27-b522-b9a04876850c,2025-10-22,2025-11-21,3759.96,329.0,4088.96,Paid,SampleGen
INV-efce98ad-e920-4715-a284-bcc16534af76,IS300022,CID-007,efce98ad-e920-4715-a284-bcc16534af76,2025-10-31,2025-11-30,899.97,78.75,978.72,Paid,SampleGen
INV-1a70a9cb-ce5c-48d5-9210-ffe548621b80,IS300023,CID-008,1a70a9cb-ce5c-48d5-9210-ffe548621b80,2025-09-11,2025-10-11,799.98,70.0,869.98,Paid,SampleGen
INV-7d76b13b-1a75-4094-8191-de91df1d1d55,IS300024,CID-008,7d76b13b-1a75-4094-8191-de91df1d1d55,2025-12-16,2026-01-15,2599.96,227.5,2827.46,Paid,SampleGen
