PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-528845c3-6331-4ad8-8064-4f8c8d360df9,INV-528845c3-6331-4ad8-8064-4f8c8d360df9,CID-001,2025-05-29,260.98,PayPal,Completed,SampleGen
PAY-c18f58e8-892b-4f91-bfc3-08f65a55b913,INV-c18f58e8-892b-4f91-bfc3-08f65a55b913,CID-001,2025-08-13,1196.19,PayPal,Completed,SampleGen
PAY-7cee3480-bb5d-4334-af4f-1741b332faf3,INV-7cee3480-bb5d-4334-af4f-1741b332faf3,CID-001,2025-07-21,995.04,MC,Completed,SampleGen
PAY-0585a42c-583a-4d29-bdeb-3fe05ff66945,INV-0585a42c-583a-4d29-bdeb-3fe05ff66945,CID-001,2025-05-25,206.61,Discover,Completed,SampleGen
PAY-d7a5ab42-ab26-4ddc-8105-e78bc3d1c956,INV-d7a5ab42-ab26-4ddc-8105-e78bc3d1c956,CID-002,2025-05-23,3447.32,Discover,Completed,SampleGen
PAY-1193b74a-f272-4752-93b3-fe6168b71ff0,INV-1193b74a-f272-4752-93b3-fe6168b71ff0,CID-003,2025-10-18,619.84,VISA,Completed,SampleGen
PAY-826b2488-3b0f-466b-814d-a5ee03e5e64b,INV-826b2488-3b0f-466b-814d-a5ee03e5e64b,CID-003,2025-11-12,2783.93,AmEx,Completed,SampleGen
PAY-43c8eebe-5c4f-4068-ab28-cbe5e3fb241d,INV-43c8eebe-5c4f-4068-ab28-cbe5e3fb241d,CID-003,2026-02-25,326.24,Discover,Completed,SampleGen
PAY-5665f738-4469-46c2-81dd-84a96aa4010a,INV-5665f738-4469-46c2-81dd-84a96aa4010a,CID-003,2026-01-14,1631.21,VISA,Completed,SampleGen
PAY-0a7e39e9-e2e7-48dc-b5b8-2f1c695783a8,INV-0a7e39e9-e2e7-48dc-b5b8-2f1c695783a8,CID-003,2026-02-16,434.99,MC,Completed,SampleGen
PAY-6095b134-a0e6-4273-ae71-03acb3be7e8d,INV-6095b134-a0e6-4273-ae71-03acb3be7e8d,CID-004,2025-05-27,1533.32,MC,Completed,SampleGen
PAY-e5b92be3-2649-458e-80c0-2c4bfe5c578c,INV-e5b92be3-2649-458e-80c0-2c4bfe5c578c,CID-004,2025-06-03,1185.33,VISA,Completed,SampleGen
PAY-ff9a6dec-8703-4a5e-8fa4-5fee34be2462,INV-ff9a6dec-8703-4a5e-8fa4-5fee34be2462,CID-005,2025-10-17,1413.7,VISA,Completed,SampleGen
PAY-7080a9ac-7029-481d-ad1a-93f5b4d8c225,INV-7080a9ac-7029-481d-ad1a-93f5b4d8c225,CID-005,2026-02-28,2783.96,MC,Completed,SampleGen
PAY-16a66f4a-90fb-4523-803d-ff623ec8abb5,INV-16a66f4a-90fb-4523-803d-ff623ec8abb5,CID-005,2025-11-06,761.22,VISA,Completed,SampleGen
PAY-061f24de-084e-4897-a897-6b36655a2f72,INV-061f24de-084e-4897-a897-6b36655a2f72,CID-005,2025-03-02,837.33,VISA,Completed,SampleGen
